CNEC,median_dAbsFBME_dNPpred
36,-0.0008090579309088042
37,-9.337957044475637e-05
38,-0.00010256389603002752
39,-0.00010139536383408593
41,-0.00019284528275699656
42,-0.00036981119451066067
54,-0.00012963532767446413
55,-3.9723063907501184e-05
60,-1.660496342985005e-05
61,-0.00012497556131154763
62,-0.0003442484569748284
63,5.535888071000152e-05
65,-0.00028679302291588255
66,0.00015857897554191638
67,-9.982919410228593e-05
68,-0.0004030681733008648
69,-0.0003489293819691452
109,5.820103419350981e-05
113,-0.001096717615445105
114,-0.00024566520790222246
116,-0.0003101281642196201
117,2.353224900878909e-05
120,1.6762654802210775e-05
121,-8.018299460718196e-06
122,-0.0003000197847360221
123,-0.0003522792211916449
124,-0.0010730861116067443
125,-0.00021049146859284453
126,-0.0006170182145468318
127,-5.332167673814077e-05
128,-0.00035857853728502086
129,-0.00013655515997821788
130,-0.0003214850557476752
131,-0.0006978080384184884
134,-0.00021566131243921927
136,-0.0023604640420390875
137,-0.000131005288429655
138,-0.00012767262464694686
139,-0.00033965615599822077
141,-0.0002924314528478071
145,-6.814502626430904e-05
148,-0.00019741188533164587
150,-0.0002098108882014883
155,-0.0005093080464789988
158,-0.0004035029896032866
159,-0.00010081415387104418
161,-0.0004213706385596316
162,-0.0007572234513230417
163,-0.00036770200951800853
187,-0.00025323033653934263
188,5.3322638119273746e-05
189,0.00016398368481682118
207,-0.0001037317746416795
209,4.61299522691069e-05
227,-0.00019908033590983564
236,1.2804430024170511e-05
239,5.1758426725607224e-05
269,-0.0001533235294100859
275,-0.00014665481420150946
284,-0.0001948385998529777
285,-0.00010634104409573855
286,1.0542456036961994e-05
287,-0.0001073588712439834
290,-0.0003263786515743081
291,5.114692321782154e-05
292,4.856769981792229e-06
293,-0.00013573242553276832
296,-0.00021839905259477
298,-0.0003335709450545796
300,-8.867479934445774e-05
301,-0.0001838508025909142
303,-0.00010197827007575074
319,-0.0003393888095880285
