CNEC,median_dAbsFBME_dNPpred
36,4.1081772628757985e-05
37,0.00012723998784983987
38,0.0001045249339651944
39,7.325044906932395e-05
41,-3.7721251100490323e-06
42,5.641787724945093e-06
54,1.9789515620293884e-05
55,-8.481618468706906e-05
60,-3.343665098889748e-05
61,-9.250613549635812e-05
62,-0.00015891027859014293
63,-3.845511906522264e-05
65,2.652744641136132e-06
66,3.962750161010206e-06
67,4.033807515063248e-05
68,0.00015612224180146383
69,-9.174926196761651e-06
109,1.1120396919122053e-05
113,-0.00016819200905005964
114,0.00011472298971720877
116,-0.00015296280455529517
117,2.892425949624185e-05
120,0.00010745093767372484
121,0.0001414017643195434
122,0.00023271255689139605
123,-0.0002547811607563833
124,-0.00016143530364649128
125,-0.00013616032957352724
126,-0.00016379003413403737
127,-3.469179500335411e-05
128,-5.4444843772444454e-05
129,9.019078981263148e-05
130,-0.0001422759222508342
131,0.00022655150410394844
134,-3.7009968436634865e-05
136,0.0002211686222888448
137,6.481219956527767e-06
138,9.74349520556297e-06
139,-0.00016597205944396994
141,5.528260709604328e-05
145,1.248785928593335e-05
148,6.400757980583774e-05
150,-4.2325911923003865e-05
155,-0.00028290750694240287
158,-7.779077487405625e-05
159,3.617420054301687e-05
161,-0.00015097382489375098
162,-0.0003456295575064352
163,-0.00021007864592629706
187,0.00011851313649329384
188,9.403470206354554e-05
189,-2.308178494913154e-05
207,0.00012615453423235113
209,-3.734399236247263e-05
227,7.051355433507889e-05
236,-3.956674789865561e-05
239,9.43487158904702e-05
269,6.132869584722365e-05
275,6.547601652266252e-05
284,-4.353304416747965e-05
285,7.52852184082793e-05
286,0.0001079100300674165
287,0.00010356548756693001
290,0.00022853601197893748
291,1.0620197994561579e-05
292,0.0001367360227184184
293,-9.665383797129993e-05
296,-4.0774272759539984e-05
298,-0.00016534036695678775
300,0.00012030093373373895
301,7.177244658594626e-05
303,9.98802465772984e-05
319,-0.0001822658425671717
