CNEC,median_dAbsFBME_dNPpred
36,5.162609713204398e-06
37,9.534994962223791e-05
38,0.00011572215620172431
39,0.00019852044587369443
41,0.0001438216389553712
42,0.00013152421874914596
54,4.337883037290484e-05
55,3.634711813231691e-05
60,0.0002954352217755234
61,7.959986152590205e-05
62,-2.2391712593457728e-05
63,1.2018847048588969e-05
65,-0.00012096670718203371
66,-0.00012026404714084093
67,2.2123521455474644e-05
68,-9.64996332508206e-05
69,-2.7054786140794236e-05
109,3.94369736105268e-05
113,-4.283333512138221e-05
114,-3.398952094762912e-05
116,3.825324339676103e-05
117,0.0001500333840995715
120,-1.8514042381801684e-05
121,-0.00014198035935411205
122,-0.00011517336129059064
123,-0.00012652278682913647
124,-6.808691715261011e-05
125,7.995656211459231e-07
126,-4.3279063861461695e-05
127,3.137839759198819e-05
128,7.57796945281535e-05
129,-0.00014430395711267154
130,1.6504584293129433e-05
131,-0.00015561787703834447
134,-1.851708762486939e-05
136,-7.123412702882365e-05
137,3.133955352278941e-05
138,4.479100659223633e-05
139,-7.36223878067625e-05
141,-0.00015928112477060156
145,-0.00010449537937194862
148,0.00011143303389888545
150,9.395359167750075e-05
155,-0.00011508877995254632
158,-2.2244188257884056e-05
159,2.6100764482714957e-05
161,7.234360517792594e-05
162,-0.00037139289747642316
163,-0.00013515490407120244
187,-2.806521292013457e-05
188,4.3625232593000885e-06
189,-4.788027938405511e-06
207,9.341313923554521e-05
209,1.0798197869770108e-05
227,0.00011464261465508592
236,7.025363811514182e-06
239,1.7143532414797605e-06
269,4.601671463147028e-05
275,4.2352869449687475e-05
284,-2.1503145878244608e-05
285,0.00019627507916862124
286,-1.8567498505906815e-05
287,0.00011873361614919368
290,-0.00012418566514468886
291,3.8709643403053876e-05
292,-0.00014650032741110472
293,7.552011988831608e-05
296,-5.327368638889275e-06
298,-7.651284267712772e-05
300,0.00010519062126802592
301,8.993804128678521e-05
303,0.00010790946870838448
319,-9.530880172989588e-05
