congestion_bin,n_mtus,mean_demand_fbmc,mean_renewables_fbmc,mean_res_share_fbmc,mean_high_loading_share_d1,mean_mean_loading_d1
high,2504,21477.730607028752,8589.382761281262,0.41440227420109577,0.08275173007321128,0.4129198960464425
low,2944,15430.75113111413,3878.8567782085233,0.24955219866529726,0.004788023423712498,0.2862608607269344
mid,3312,19295.875268719807,4558.564812936831,0.24922876895438495,0.03289614417883309,0.34272342147376644
