demand_bin,n_mtus,mean_demand_fbmc,mean_renewables_fbmc,mean_res_share_fbmc,mean_high_loading_share_d1,mean_mean_loading_d1
high,2920,22265.870400684933,6393.521156724554,0.2873081766048615,0.07080447859273113,0.38721004258466357
low,2920,14933.365023972601,4429.278827891263,0.300501244271996,0.010941212151847545,0.29535317186866494
mid,2920,18662.5137739726,5624.16421050095,0.3018449113995473,0.03135646767426578,0.3488762943143089
