renewables_bin,n_mtus,mean_demand_fbmc,mean_renewables_fbmc,mean_res_share_fbmc,mean_high_loading_share_d1,mean_mean_loading_d1
high,2920,18471.651544520548,10151.670581369013,0.5577874091072083,0.050744325936410054,0.3885115009633088
low,2920,18223.254856164385,1506.9658800151544,0.08225699162953454,0.023775463782035083,0.30472899508596885
mid,2920,19166.842797945206,4788.327733732599,0.24960993153966202,0.038582368700399335,0.33819901271835984
