CNEC,median_dir_dAbsFBME_dNPpred,abs_median_dir_dAbsFBME_dNPpred,n_MTUs_used
36,-0.005590855911013061,0.005590855911013061,867
37,0.020209973641240223,0.020209973641240223,867
38,0.01473208009973068,0.01473208009973068,867
39,0.013068829053865343,0.013068829053865343,867
41,0.017180486387673586,0.017180486387673586,867
42,0.009423379394124822,0.009423379394124822,867
54,0.014656879089614374,0.014656879089614374,867
55,-0.04651851651178411,0.04651851651178411,867
60,0.006041252086000128,0.006041252086000128,867
61,-0.015941079346665964,0.015941079346665964,867
62,0.001344234133933324,0.001344234133933324,867
63,-0.0027245287953559655,0.0027245287953559655,867
65,-0.008220030623655342,0.008220030623655342,867
66,-0.018951831147519502,0.018951831147519502,867
67,0.020488271215844567,0.020488271215844567,867
68,0.009052914250124932,0.009052914250124932,867
69,-0.01341419036656879,0.01341419036656879,867
109,0.0619583093009424,0.0619583093009424,867
113,-0.01891149315020779,0.01891149315020779,867
114,0.0011731466026378367,0.0011731466026378367,867
116,0.009210676666602259,0.009210676666602259,867
117,-0.0016907413182432537,0.0016907413182432537,867
120,-0.037685970107885665,0.037685970107885665,867
121,-0.02925790560956283,0.02925790560956283,867
122,-0.004073554556060795,0.004073554556060795,867
123,-0.02341371612556478,0.02341371612556478,867
124,0.020947978560045794,0.020947978560045794,867
125,0.030589872653939525,0.030589872653939525,867
126,0.0123662338970106,0.0123662338970106,867
127,0.002560826458575887,0.002560826458575887,867
128,0.03335555015436796,0.03335555015436796,867
129,0.022526260716747987,0.022526260716747987,867
130,0.07964716883440887,0.07964716883440887,867
131,-0.0033775733825858,0.0033775733825858,867
134,0.0025547686970270986,0.0025547686970270986,867
136,-0.007740752742282002,0.007740752742282002,867
137,0.019935238091988994,0.019935238091988994,867
138,-0.0008366913417849328,0.0008366913417849328,867
139,0.018466921386967285,0.018466921386967285,867
141,0.06346037577738224,0.06346037577738224,867
145,0.0910912205612138,0.0910912205612138,867
148,0.03464438399706444,0.03464438399706444,867
150,0.0029931356910511417,0.0029931356910511417,867
155,0.03233812679268951,0.03233812679268951,867
158,0.02775171486084722,0.02775171486084722,867
159,0.020547181720625092,0.020547181720625092,867
161,0.08038273748149925,0.08038273748149925,867
162,-0.07756895156656139,0.07756895156656139,867
163,-0.05507961504099845,0.05507961504099845,867
187,0.0010966731284256489,0.0010966731284256489,867
188,0.07771069022211731,0.07771069022211731,867
189,-0.0017231175548108092,0.0017231175548108092,867
207,0.020277536479996243,0.020277536479996243,867
209,-0.002963694649144675,0.002963694649144675,867
227,0.03426751228343753,0.03426751228343753,867
236,-0.001780901034242281,0.001780901034242281,867
239,0.07817548810576443,0.07817548810576443,867
269,0.007099225937540673,0.007099225937540673,867
275,0.007087528359951117,0.007087528359951117,867
284,0.00275054351359971,0.00275054351359971,867
285,0.013064200653678968,0.013064200653678968,867
286,-0.037992547264735284,0.037992547264735284,867
287,0.01450780165285196,0.01450780165285196,867
290,-0.004518235426967768,0.004518235426967768,867
291,0.06212481903577102,0.06212481903577102,867
292,-0.02956831416292699,0.02956831416292699,867
293,-0.016391128588951014,0.016391128588951014,867
296,0.0032073774502807146,0.0032073774502807146,867
298,0.018140640049223514,0.018140640049223514,867
300,0.022202772509203494,0.022202772509203494,867
301,0.03670968109329325,0.03670968109329325,867
303,0.015236994154656909,0.015236994154656909,867
319,0.019387813349543398,0.019387813349543398,867
