CNEC,median_dFBME_dNPpred
36,0.0004474933583774654
37,0.0004068802296665655
38,0.0003892838193908188
39,0.0003643966644663234
41,-0.0001101212201910354
42,-0.000495533785403115
54,0.00027277005838946154
55,-0.00046863543561250377
60,0.00029895286654997783
61,-0.00042712221675757304
62,0.00020721500676085594
63,-0.00042477485847489707
65,-0.000134536886995526
66,0.0004470887624042862
67,0.0004369546192697717
68,-4.794489529872901e-06
69,0.000605583366922001
109,-0.0010458729835863653
113,-0.0011141643850945786
114,-0.0004003571673977394
116,0.000377370389421597
117,-0.00015738382407036778
120,-0.0009851803759127712
121,-0.0009122735022218534
122,0.0004925553233716292
123,-0.0006648686825065201
124,-0.0004610099233028211
125,0.0004085795088601312
126,0.0003392461448007366
127,-0.00016332169609805237
128,0.00038590062705202196
129,0.00015707059269248294
130,-0.0005886030094478961
131,-0.0004446217616134298
134,1.2506129512638195e-05
136,0.00036332293571509874
137,0.0002130734936953062
138,0.00027777075179277093
139,2.1381666943287548e-05
141,-0.0006238269627991766
145,-0.0008798774500934575
148,0.00040866268853151556
150,0.00037880665084452094
155,0.000882062609282204
158,-0.0002466250028855733
159,-0.0004444058300279549
161,0.0005028496599031874
162,-0.0011385725583258636
163,-0.0007092560568878948
187,-0.00039694772434819046
188,0.00039167597742410803
189,-0.00011528644234003093
207,0.00040184113960876086
209,-0.00042837940442632977
227,0.0004086561318045034
236,-6.7734706087947e-05
239,0.00039209578631331824
269,-1.8132206015296472e-05
275,-1.4627927998263297e-05
284,1.001882451701883e-05
285,0.00036732982020999
286,-0.0009991218491900386
287,0.00038829123785017264
290,0.000484011650941255
291,0.0010526621537857914
292,-0.0009208200908554895
293,-0.00042862648397823887
296,1.7611593624829327e-05
298,2.3302264216666783e-05
300,-0.0004064091034156295
301,0.0004223617409320762
303,0.00038368965229594175
319,2.5375797396261424e-05
