CNEC,median_dFBME_dNPpred
36,0.00020031926984459257
37,0.00027863777780265023
38,0.000344029066862145
39,0.00047221898975069747
41,0.00023727358825535047
42,0.00014814049356186813
54,0.0001916469393946554
55,-0.00011475365473770622
60,-0.000499067585871743
61,-0.0002810462582356054
62,5.723812459880825e-05
63,-0.00030232303137299596
65,0.0002232014714323952
66,-0.0002953982862888624
67,3.5607219196110596e-05
68,-0.00015143708016224106
69,4.284177603207649e-05
109,-5.6472754978484404e-05
113,-0.0001367545199145345
114,1.7594390026256612e-07
116,6.176383254762893e-05
117,-3.324175104612738e-05
120,0.00012742136435494578
121,0.0002265258278973309
122,-0.00021781162227956465
123,-0.0002016109352410132
124,-0.00013591332197788664
125,0.00010728805921589009
126,0.00012090381221414635
127,-0.0001773273081710127
128,4.164474038912826e-05
129,-0.00011674591760926052
130,6.117766874976375e-05
131,0.00020417660475488268
134,-0.0001344811830342963
136,6.9476171107246e-05
137,-0.00013393473664331904
138,0.00018403726275750148
139,0.00018145570792736917
141,0.00023100734540397802
145,0.00017364009850349575
148,0.0002802212632154165
150,-0.00010634403060735908
155,0.0006371906372859692
158,-0.00014930987570634758
159,-3.287342631221785e-05
161,0.00021447823391245352
162,-0.0006026646472993306
163,-0.0003591995764412802
187,-3.7843351726221487e-06
188,-0.0001342057593991824
189,-4.042800324564624e-06
207,0.000275651986193838
209,-0.0003001527175364421
227,0.0002813942377852512
236,-1.2177209319723727e-05
239,-0.0001341492022563999
269,0.00013508062037661915
275,0.00013184878207294693
284,-0.0001290649215961007
285,0.0004720476253908082
286,0.00012069752654381941
287,0.00034401596601700384
290,-0.00022615932429197172
291,5.592069175958534e-05
292,0.00022389779990104148
293,-0.00029037146309417107
296,-0.0001598678339436933
298,0.00018477754825421748
300,-0.00029328375470524
301,0.0002951459858528588
303,0.00036260120252072224
319,0.0001790721401592215
