mean_abs_fbme_d1_cgm,strategy,t
5.52631645738966e-13,dynamic_gen,1
1.2269768623688615e-12,dynamic_gen,2
5.724554550642399e-13,dynamic_gen,3
9.217428471841365e-13,dynamic_gen,4
6.521045503549153e-13,dynamic_gen,5
5.566690840509449e-13,dynamic_gen,6
4.392070196086826e-13,dynamic_gen,7
4.776222760654354e-13,dynamic_gen,8
4.813020073146688e-13,dynamic_gen,9
8.376167118626124e-13,dynamic_gen,10
1.0455170895187132e-12,dynamic_gen,11
4.036396384468521e-13,dynamic_gen,12
29.565752870010055,dynamic_gen,13
1.487756336610585e-11,dynamic_gen,14
7.695378643352421e-13,dynamic_gen,15
1.207775860969055e-12,dynamic_gen,16
1.6434849804335235e-12,dynamic_gen,17
1.8991546123879965e-12,dynamic_gen,18
1.7023205060476556e-12,dynamic_gen,19
49.463614165527794,dynamic_gen,20
31.433372700548464,dynamic_gen,21
65.94145786276776,dynamic_gen,22
29.035380249421817,dynamic_gen,23
11.230154317494712,dynamic_gen,24
57.51939884283674,dynamic_gen,25
72.00550339623865,dynamic_gen,26
79.3797038967081,dynamic_gen,27
84.40590518446103,dynamic_gen,28
65.02550871425271,dynamic_gen,29
63.06411094574301,dynamic_gen,30
50.8898866690786,dynamic_gen,31
11.982308029715119,dynamic_gen,32
14.146815840989552,dynamic_gen,33
9.419963142475162,dynamic_gen,34
9.375557395271418,dynamic_gen,35
16.607795903679776,dynamic_gen,36
17.43176246840407,dynamic_gen,37
6.915146120300249,dynamic_gen,38
10.804257383106105,dynamic_gen,39
19.51103803141601,dynamic_gen,40
26.976789056810382,dynamic_gen,41
50.878623929819554,dynamic_gen,42
47.247896079492264,dynamic_gen,43
37.85848165005458,dynamic_gen,44
16.009641956927066,dynamic_gen,45
11.76188212994029,dynamic_gen,46
14.732267024875734,dynamic_gen,47
18.492407020354694,dynamic_gen,48
66.3767600995895,dynamic_gen,49
71.47949596488434,dynamic_gen,50
72.20544841817086,dynamic_gen,51
51.14138458262318,dynamic_gen,52
1.6786854695016802,dynamic_gen,53
2.460706173470549,dynamic_gen,54
4.006506903856562,dynamic_gen,55
4.41476752904655,dynamic_gen,56
4.698758670510443,dynamic_gen,57
3.7207126409647295,dynamic_gen,58
1.7949128429094678,dynamic_gen,59
7.334320618522045e-13,dynamic_gen,60
6.86392894768006e-13,dynamic_gen,61
8.033302169168954e-12,dynamic_gen,62
2.238005164212389e-12,dynamic_gen,63
1.4529311874837208e-12,dynamic_gen,64
20.303356854395414,dynamic_gen,65
82.07598277939645,dynamic_gen,66
67.69309105241724,dynamic_gen,67
9.164938279732239,dynamic_gen,68
1.4802145185125889e-12,dynamic_gen,69
2.469501044882902e-12,dynamic_gen,70
