t,line,overload_mw,strategy
23,101,6.7628824440259905,NO_SCOPF_50%_pmax_sub
23,102,3.7336176880326093,NO_SCOPF_50%_pmax_sub
23,145,94.29451254817388,NO_SCOPF_50%_pmax_sub
23,175,44.80435549999993,NO_SCOPF_50%_pmax_sub
23,176,5.259355500000083,NO_SCOPF_50%_pmax_sub
23,216,36.17124625177166,NO_SCOPF_50%_pmax_sub
23,217,78.75743169120074,NO_SCOPF_50%_pmax_sub
23,218,36.558669999183394,NO_SCOPF_50%_pmax_sub
23,220,5.859030150604212,NO_SCOPF_50%_pmax_sub
23,222,6.7628824440259905,NO_SCOPF_50%_pmax_sub
23,223,3.7336176880326093,NO_SCOPF_50%_pmax_sub
23,240,84.23425655053461,NO_SCOPF_50%_pmax_sub
23,241,84.23425655053461,NO_SCOPF_50%_pmax_sub
23,271,24.32999880779016,NO_SCOPF_50%_pmax_sub
23,274,49.77529835667087,NO_SCOPF_50%_pmax_sub
24,58,19.182754844932305,NO_SCOPF_50%_pmax_sub
24,60,33.575315155067756,NO_SCOPF_50%_pmax_sub
24,77,4.381824591515624,NO_SCOPF_50%_pmax_sub
24,78,23.327600500000017,NO_SCOPF_50%_pmax_sub
24,79,59.172600500000044,NO_SCOPF_50%_pmax_sub
24,86,61.28138711421866,NO_SCOPF_50%_pmax_sub
24,88,102.78129484555882,NO_SCOPF_50%_pmax_sub
24,89,47.340116000580565,NO_SCOPF_50%_pmax_sub
24,94,31.823473240229305,NO_SCOPF_50%_pmax_sub
24,95,12.290326881936835,NO_SCOPF_50%_pmax_sub
24,97,135.0942974411421,NO_SCOPF_50%_pmax_sub
24,101,3.872306566009456,NO_SCOPF_50%_pmax_sub
24,145,147.5427861320601,NO_SCOPF_50%_pmax_sub
24,175,59.172600500000044,NO_SCOPF_50%_pmax_sub
24,176,23.327600500000017,NO_SCOPF_50%_pmax_sub
24,213,4.381824591515624,NO_SCOPF_50%_pmax_sub
24,216,59.156960307702775,NO_SCOPF_50%_pmax_sub
24,217,102.78129484555882,NO_SCOPF_50%_pmax_sub
24,218,47.340116000580565,NO_SCOPF_50%_pmax_sub
24,220,12.290326881936835,NO_SCOPF_50%_pmax_sub
24,222,3.872306566009456,NO_SCOPF_50%_pmax_sub
24,240,89.59395848387794,NO_SCOPF_50%_pmax_sub
24,241,89.59395848387794,NO_SCOPF_50%_pmax_sub
24,271,31.823473240229305,NO_SCOPF_50%_pmax_sub
24,274,73.92060689062646,NO_SCOPF_50%_pmax_sub
25,58,53.94345581091312,NO_SCOPF_50%_pmax_sub
25,60,4.8216741890868775,NO_SCOPF_50%_pmax_sub
25,77,16.609931863680686,NO_SCOPF_50%_pmax_sub
25,78,36.72692700000016,NO_SCOPF_50%_pmax_sub
25,79,69.6269269999998,NO_SCOPF_50%_pmax_sub
25,86,79.49915309527273,NO_SCOPF_50%_pmax_sub
25,88,121.72592455277345,NO_SCOPF_50%_pmax_sub
25,89,56.27373114778766,NO_SCOPF_50%_pmax_sub
25,94,38.28366883189665,NO_SCOPF_50%_pmax_sub
25,95,18.286413406489828,NO_SCOPF_50%_pmax_sub
25,97,145.08964258603396,NO_SCOPF_50%_pmax_sub
25,101,4.110587834963667,NO_SCOPF_50%_pmax_sub
25,109,19.38718681811531,NO_SCOPF_50%_pmax_sub
25,121,40.139495826155894,NO_SCOPF_50%_pmax_sub
25,145,191.33809181817162,NO_SCOPF_50%_pmax_sub
25,175,69.6269269999998,NO_SCOPF_50%_pmax_sub
25,176,36.72692700000016,NO_SCOPF_50%_pmax_sub
25,188,20.54080253787572,NO_SCOPF_50%_pmax_sub
25,213,16.609931863680686,NO_SCOPF_50%_pmax_sub
25,216,77.2434307125875,NO_SCOPF_50%_pmax_sub
25,217,121.72592455277345,NO_SCOPF_50%_pmax_sub
25,218,56.27373114778766,NO_SCOPF_50%_pmax_sub
25,220,18.286413406489828,NO_SCOPF_50%_pmax_sub
25,222,4.110587834963667,NO_SCOPF_50%_pmax_sub
25,239,20.54080253787572,NO_SCOPF_50%_pmax_sub
25,240,94.56928983297621,NO_SCOPF_50%_pmax_sub
25,241,94.56928983297621,NO_SCOPF_50%_pmax_sub
25,271,38.28366883189665,NO_SCOPF_50%_pmax_sub
25,274,92.91951234788439,NO_SCOPF_50%_pmax_sub
25,291,19.38718681811531,NO_SCOPF_50%_pmax_sub
25,292,40.139495826155894,NO_SCOPF_50%_pmax_sub
26,58,67.59844519049443,NO_SCOPF_50%_pmax_sub
26,77,27.39676293980051,NO_SCOPF_50%_pmax_sub
26,78,46.200589000000036,NO_SCOPF_50%_pmax_sub
26,79,77.82558900000004,NO_SCOPF_50%_pmax_sub
26,86,90.48941644999263,NO_SCOPF_50%_pmax_sub
26,88,134.82107889427743,NO_SCOPF_50%_pmax_sub
26,89,64.19796985129892,NO_SCOPF_50%_pmax_sub
26,94,53.59764042882216,NO_SCOPF_50%_pmax_sub
26,95,25.356909652674403,NO_SCOPF_50%_pmax_sub
26,97,154.62538012790424,NO_SCOPF_50%_pmax_sub
26,101,16.42906820015378,NO_SCOPF_50%_pmax_sub
26,102,4.840349173321556,NO_SCOPF_50%_pmax_sub
26,109,62.88950810565257,NO_SCOPF_50%_pmax_sub
26,114,4.967056375623429,NO_SCOPF_50%_pmax_sub
26,120,27.99292941087208,NO_SCOPF_50%_pmax_sub
26,121,68.41292941087124,NO_SCOPF_50%_pmax_sub
26,145,223.59650231726403,NO_SCOPF_50%_pmax_sub
26,146,24.289251826315763,NO_SCOPF_50%_pmax_sub
26,163,20.458031823906225,NO_SCOPF_50%_pmax_sub
26,175,77.82558900000004,NO_SCOPF_50%_pmax_sub
26,176,46.200589000000036,NO_SCOPF_50%_pmax_sub
26,187,4.967056375623429,NO_SCOPF_50%_pmax_sub
26,188,39.70053795963918,NO_SCOPF_50%_pmax_sub
26,213,27.39676293980051,NO_SCOPF_50%_pmax_sub
26,216,88.15448715681623,NO_SCOPF_50%_pmax_sub
26,217,134.82107889427743,NO_SCOPF_50%_pmax_sub
26,218,64.19796985129892,NO_SCOPF_50%_pmax_sub
26,220,25.356909652674403,NO_SCOPF_50%_pmax_sub
26,222,16.42906820015378,NO_SCOPF_50%_pmax_sub
26,223,4.840349173321556,NO_SCOPF_50%_pmax_sub
26,239,39.70053795963918,NO_SCOPF_50%_pmax_sub
26,240,108.01948945778622,NO_SCOPF_50%_pmax_sub
26,241,108.01948945778622,NO_SCOPF_50%_pmax_sub
26,271,53.59764042882216,NO_SCOPF_50%_pmax_sub
26,274,104.38101507241367,NO_SCOPF_50%_pmax_sub
26,286,27.99292941087208,NO_SCOPF_50%_pmax_sub
