CNEC,median_delta_flow_MW,median_delta_flow_per_MW
36,-2.152871161342773e-07,-2.152871161342773e-07
37,-1.2328298026886841e-07,-1.2328298026886841e-07
38,-2.929464670842208e-08,-2.929464670842208e-08
39,-3.6430094496608945e-08,-3.6430094496608945e-08
41,-9.429190868104342e-07,-9.429190868104342e-07
42,-2.702548158595164e-07,-2.702548158595164e-07
54,5.0484487701396574e-09,5.0484487701396574e-09
55,-2.4123393398411963e-06,-2.4123393398411963e-06
60,1.2135966436233048e-06,1.2135966436233048e-06
61,-1.1482537196627618e-05,-1.1482537196627618e-05
62,-6.420250997507537e-08,-6.420250997507537e-08
63,-1.9076896295988632e-06,-1.9076896295988632e-06
65,8.04579997293331e-07,8.04579997293331e-07
66,7.55714644640193e-07,7.55714644640193e-07
67,-1.1140515994156885e-06,-1.1140515994156885e-06
68,-4.329989025109171e-07,-4.329989025109171e-07
69,2.064296992898562e-06,2.064296992898562e-06
109,-7.851699021177438e-06,-7.851699021177438e-06
113,-2.765398935622443e-06,-2.765398935622443e-06
114,5.90006902712048e-06,5.90006902712048e-06
116,5.837116816564958e-07,5.837116816564958e-07
117,-1.4854196308533574e-06,-1.4854196308533574e-06
120,-1.4916643777951322e-06,-1.4916643777951322e-06
121,-1.274772586157269e-06,-1.274772586157269e-06
122,-2.7590254347842347e-07,-2.7590254347842347e-07
123,-4.6780002094237716e-07,-4.6780002094237716e-07
124,-2.6538510340401444e-06,-2.6538510340401444e-06
125,4.732811476060306e-09,4.732811476060306e-09
126,-2.440490050048538e-07,-2.440490050048538e-07
127,-2.452907637007229e-07,-2.452907637007229e-07
128,-3.763329914363567e-08,-3.763329914363567e-08
129,7.537364581367001e-07,7.537364581367001e-07
130,-1.0580361369250113e-06,-1.0580361369250113e-06
131,-1.3609171789497054e-06,-1.3609171789497054e-06
134,5.000545002076251e-06,5.000545002076251e-06
136,2.3694212814007187e-08,2.3694212814007187e-08
137,7.765093965161896e-06,7.765093965161896e-06
138,-3.08034593388129e-07,-3.08034593388129e-07
139,-5.5014051838497835e-06,-5.5014051838497835e-06
141,-1.6712670714014166e-07,-1.6712670714014166e-07
145,-1.9448376775699217e-07,-1.9448376775699217e-07
148,5.670153768733144e-08,5.670153768733144e-08
150,-2.98774693874293e-08,-2.98774693874293e-08
155,-1.69958614293364e-07,-1.69958614293364e-07
158,-2.757768186256726e-06,-2.757768186256726e-06
159,1.1140515994156885e-06,1.1140515994156885e-06
161,-2.241071399566863e-07,-2.241071399566863e-07
162,-3.768719039953794e-06,-3.768719039953794e-06
163,-2.0537192639835666e-06,-2.0537192639835666e-06
187,5.90006902712048e-06,5.90006902712048e-06
188,3.9261642470478364e-07,3.9261642470478364e-07
189,8.394809469791653e-08,8.394809469791653e-08
207,-1.2215370048807017e-07,-1.2215370048807017e-07
209,-1.9076896295988632e-06,-1.9076896295988632e-06
227,5.6182457797149254e-08,5.6182457797149254e-08
236,1.9853402477565396e-08,1.9853402477565396e-08
239,3.9261642470478364e-07,3.9261642470478364e-07
269,-2.546873201225708e-07,-2.546873201225708e-07
275,-2.546873201225708e-07,-2.546873201225708e-07
284,4.954759958764043e-06,4.954759958764043e-06
285,-3.6430094496608945e-08,-3.6430094496608945e-08
286,-1.4916643777951322e-06,-1.4916643777951322e-06
287,-2.902674367533109e-08,-2.902674367533109e-08
290,-2.7590254347842347e-07,-2.7590254347842347e-07
291,7.851699021177438e-06,7.851699021177438e-06
292,-1.274772586157269e-06,-1.274772586157269e-06
293,-1.1482537196627618e-05,-1.1482537196627618e-05
296,5.283255632093642e-06,5.283255632093642e-06
298,-5.451035121950554e-06,-5.451035121950554e-06
300,1.3025234579799871e-07,1.3025234579799871e-07
301,5.990708018543955e-08,5.990708018543955e-08
303,-3.0951213148000534e-08,-3.0951213148000534e-08
319,-5.812434523022603e-06,-5.812434523022603e-06
