CNEC,median_delta_flow_MW,median_delta_flow_per_MW
36,-4.164542644957692e-06,-4.164542644957692e-06
37,-6.731158350703481e-06,-6.731158350703481e-06
38,-6.192589268039228e-06,-6.192589268039228e-06
39,-5.656231962802849e-06,-5.656231962802849e-06
41,-4.0640273368808266e-08,-4.0640273368808266e-08
42,2.5000645109685138e-08,2.5000645109685138e-08
54,-1.2133463656027743e-05,-1.2133463656027743e-05
55,-2.05227991045831e-07,-2.05227991045831e-07
60,8.413500829362874e-08,8.413500829362874e-08
61,1.0842294067003877e-06,1.0842294067003877e-06
62,-2.459526342590834e-07,-2.459526342590834e-07
63,1.9212366708654116e-07,1.9212366708654116e-07
65,-1.0881882381852392e-05,-1.0881882381852392e-05
66,2.053955363123805e-06,2.053955363123805e-06
67,-5.4826202813273994e-06,-5.4826202813273994e-06
68,1.0072021375151508e-05,1.0072021375151508e-05
69,-2.3568701550402693e-06,-2.3568701550402693e-06
109,4.779903022722465e-06,4.779903022722465e-06
113,1.924821488863415e-06,1.924821488863415e-06
114,9.103111352715132e-06,9.103111352715132e-06
116,-3.9342703956890546e-06,-3.9342703956890546e-06
117,-2.5768857625507735e-06,-2.5768857625507735e-06
120,3.833587840063046e-06,3.833587840063046e-06
121,4.186374638948109e-06,4.186374638948109e-06
122,4.991349836558356e-06,4.991349836558356e-06
123,9.872053396975389e-09,9.872053396975389e-09
124,2.130746580064624e-06,2.130746580064624e-06
125,-7.895475306440858e-06,-7.895475306440858e-06
126,-9.349249125989445e-07,-9.349249125989445e-07
127,8.755800948279102e-06,8.755800948279102e-06
128,-2.9949916040550306e-06,-2.9949916040550306e-06
129,2.5910698298048374e-06,2.5910698298048374e-06
130,2.786545962862874e-06,2.786545962862874e-06
131,-3.0813179137112456e-06,-3.0813179137112456e-06
134,2.6205534595646895e-06,2.6205534595646895e-06
136,-3.200951638859806e-06,-3.200951638859806e-06
137,1.7084773418218901e-06,1.7084773418218901e-06
138,-3.3733636470856254e-06,-3.3733636470856254e-06
139,-1.4258721989790502e-06,-1.4258721989790502e-06
141,4.85975157005214e-07,4.85975157005214e-07
145,3.3407935973173153e-07,3.3407935973173153e-07
148,-7.955437979489943e-06,-7.955437979489943e-06
150,-4.983576115336064e-06,-4.983576115336064e-06
155,-5.1599967491183785e-06,-5.1599967491183785e-06
158,2.665000558010888e-06,2.665000558010888e-06
159,5.4826202813273994e-06,5.4826202813273994e-06
161,-6.52140559509462e-06,-6.52140559509462e-06
162,-2.3962055450965636e-07,-2.3962055450965636e-07
163,-1.4189171082534813e-07,-1.4189171082534813e-07
187,9.103111352715132e-06,9.103111352715132e-06
188,8.171886108243598e-06,8.171886108243598e-06
189,9.697786325091329e-07,9.697786325091329e-07
207,-6.669520985269628e-06,-6.669520985269628e-06
209,1.9212366708654116e-07,1.9212366708654116e-07
227,-7.882599874164953e-06,-7.882599874164953e-06
236,1.4481148866707372e-06,1.4481148866707372e-06
239,8.171886108243598e-06,8.171886108243598e-06
269,5.324807261786191e-11,5.324807261786191e-11
275,5.324807261786191e-11,5.324807261786191e-11
284,2.596559625089867e-06,2.596559625089867e-06
285,-5.656231962802849e-06,-5.656231962802849e-06
286,3.833587840063046e-06,3.833587840063046e-06
287,-6.135890316727455e-06,-6.135890316727455e-06
290,4.991349836558356e-06,4.991349836558356e-06
291,-4.779903022722465e-06,-4.779903022722465e-06
292,4.186374638948109e-06,4.186374638948109e-06
293,1.0842294067003877e-06,1.0842294067003877e-06
296,2.768708782241447e-06,2.768708782241447e-06
298,-1.4128174257166393e-06,-1.4128174257166393e-06
300,7.111712648111279e-06,7.111712648111279e-06
301,-8.405214117601645e-06,-8.405214117601645e-06
303,-6.542700219824837e-06,-6.542700219824837e-06
319,-1.5064858871483011e-06,-1.5064858871483011e-06
