,36,37,38,39,41,42,54,55,60,61,62,63,65,66,67,68,69,109,113,114,116,117,120,121,122,123,124,125,126,127,128,129,130,131,134,136,137,138,139,141,145,148,150,155,158,159,161,162,163,187,188,189,207,209,227,236,239,269,275,284,285,286,287,290,291,292,293,296,298,300,301,303,319
2161,-235.383248913573,-248.95391494257495,-287.8264647841407,-319.9850808560561,-65.23530971478291,-137.09070440692378,-510.48613001446614,-44.57390601797226,-262.4801791452017,-489.67691719003983,-3.32548202564855,-80.41137704359737,-669.5692866886636,343.6503647733069,-348.8811090187114,769.2665724819982,-586.7262077564585,-609.5670628505519,-145.84889879054256,812.8046173637405,-160.09831662750693,-257.0081223237566,-623.7386744270063,-689.4036743312414,544.9378496620494,-287.9696418498883,-304.19717379503356,-320.7603830852184,-12.640954292171921,349.828274814935,-330.1176893267712,362.46798902947717,-140.70118693730575,-582.4037907030107,707.4551969935393,-555.6957519195308,373.7685543113863,59.72309247148049,-466.01748320897445,-407.90748234933767,-956.867243982374,-321.82559079812734,-365.8067771397561,187.00619023840446,53.81564550127098,348.8811090187114,-266.3363887431231,-170.30633144204577,-94.62619219574145,812.8046173637405,712.9064184598504,105.84796906862952,-246.6742205011206,-80.41137704359737,-318.87901627502686,149.87539256702647,712.9064184598504,-114.95035122047786,-114.95035122047786,700.9777312104034,-319.9850808560561,-623.7386744270063,-285.19114834376643,544.9378496620494,609.5670628505519,-689.4036743312414,-489.67691719003983,747.4518753649019,-461.7507105979808,263.0288073401819,-340.02061249162637,-304.0993276899892,-492.3644047542024
2162,-237.3404546612338,-246.11539759739824,-283.4718948391976,-311.992709289192,-56.476677901931396,-122.87747746857957,-493.43585857908243,-28.601621517657584,-265.7275102586628,-467.29375085470434,-11.426667337325208,-77.09324420819874,-699.8297597270083,371.7568422722965,-361.18864212078165,790.9628884151283,-574.0360461708738,-604.7544206734068,-134.8273173337014,843.8213747083862,-157.8827097140152,-243.57484063547943,-635.0923910821311,-698.1973909907816,559.3521705433267,-241.31079392212814,-307.86250799245653,-330.4288748628464,-43.43550150291708,336.49520657604,-329.04134753452814,369.9142436219602,-140.08661462564447,-590.1360829935277,659.838697848826,-553.8658310166958,315.33703305803914,54.86436806885774,-433.95895976001634,-412.2465282561557,-958.7505977854444,-316.2460095300931,-363.51148988182456,198.90586418789587,51.844395751660876,361.18864212078165,-259.0441866508952,-147.47803610804607,-81.73818739859364,843.8213747083862,735.0177454434688,102.45912279531986,-243.86169572655763,-77.09324420819874,-313.35052060268134,145.74841648010462,735.0177454434688,-106.03373972019918,-106.03373972019918,653.7972091356619,-311.992709289192,-635.0923910821311,-280.87644849824375,559.3521705433267,604.7544206734068,-698.1973909907816,-467.29375085470434,697.1433304064672,-429.98570924793427,260.02981119228684,-334.1255789876128,-299.4985631507407,-458.49340981522784
2163,-238.27218567772942,-245.49511685063507,-282.56612305651106,-312.9395307283567,-56.820352641714486,-123.2113095515379,-493.4168093681214,-28.184871582645187,-261.8022885872022,-465.00423546606527,-9.981936633018188,-76.5016498197139,-700.3729796816491,370.27254961895756,-365.197691578669,791.0574320658851,-574.4248824164576,-598.9898815618727,-132.1176778324401,847.6558505375725,-157.777563778323,-243.75700169373127,-632.1461232967148,-694.7661232844887,556.7216234768886,-245.76473563547694,-298.9917376302994,-336.31175407232234,-37.94373379622482,336.5699530652149,-329.56017123571735,369.4998565522674,-137.63862687577034,-586.6214993402886,656.0197420180664,-555.4132261980196,310.62159612028347,54.559267562215624,-431.41515140181593,-410.3842859925962,-954.7230456099882,-315.9587193187266,-357.90761385288215,199.16393059976977,58.847951040968425,365.197691578669,-259.83262307802926,-146.3388565128489,-81.70430043924557,847.6558505375725,733.7997217087151,102.01034974871496,-243.24709494900014,-76.5016498197139,-313.0658607664056,146.769528538691,733.7997217087151,-105.86065511114833,-105.86065511114833,650.0132196968754,-312.9395307283567,-632.1461232967148,-279.9789698906541,556.7216234768886,598.9898815618727,-694.7661232844887,-465.00423546606527,693.1084661355317,-427.46519154345685,259.3744621688548,-333.82204627789463,-298.54158169192243,-455.80578385006083
2164,-237.87717267048947,-242.37349459820044,-278.9325878914988,-312.5174447158096,-56.468903853539516,-121.61900883004215,-490.17700711690117,-27.319886232260334,-254.05051287798855,-464.70023451582495,-10.976592288040496,-76.33825359881206,-706.4560840998832,375.3566083866472,-368.28740339364856,795.672073676046,-571.8454653863452,-599.9533960161002,-131.29143594016043,854.6397298740069,-156.16339543656315,-242.87646056323283,-635.5671387479092,-697.3271390801366,559.5869585963942,-241.54075149620448,-299.3667924641699,-338.7433183843165,-41.72465835832189,334.7125308417241,-329.55359969335365,371.06047908305163,-138.2923421710454,-588.4122760319417,646.9324429728428,-556.2331834203356,300.558146584827,55.914002489915624,-425.34283215404236,-411.51302143069086,-954.763678842343,-312.77887805282387,-345.98901902890145,200.12331389421374,58.7727336398676,368.28740339364856,-259.73333569459913,-144.04681135187911,-80.84743658636133,854.6397298740069,738.990754456289,100.60030607994324,-240.15405768547365,-76.33825359881206,-309.91513352850274,146.9242429170325,738.990754456289,-104.45450459521226,-104.45450459521226,641.0091240387737,-312.5174447158096,-635.5671387479092,-276.3787030874106,559.5869585963942,599.9533960161002,-697.3271390801366,-464.70023451582495,683.5074076625446,-421.44846936314354,256.0763554561572,-330.4624266398881,-294.7026171212155,-449.39015791405535
2165,-237.38276742993014,-239.6691082394967,-275.92958686375613,-314.01625072104065,-57.716098725954524,-122.40541478028541,-490.4027334434905,-29.529086756202393,-244.45587735372175,-469.8604435296491,-10.898767676582915,-76.98813677091938,-708.7721414782046,376.98908836300495,-369.36857715981654,797.8743245369833,-571.1652361244833,-603.8390179252631,-133.1567210096359,857.578099734225,-154.93271270488708,-244.76216910465752,-638.8211641175675,-700.0711641927287,561.2864486901472,-245.03345070723827,-300.9772228538738,-339.143443390889,-41.42882835573773,335.58163333542603,-329.93174146110863,371.9133643041937,-139.90510426170883,-590.3102913570101,646.7099221643518,-558.0922247851195,301.4127177721629,58.300990034772944,-425.2483022145452,-412.71869456601775,-955.6153875237321,-310.68127711634065,-332.84011992918454,198.82601620139528,57.76282980963369,369.36857715981654,-261.329112159421,-146.04931834122138,-82.48238207728926,857.578099734225,742.184122761985,99.72045637363698,-237.47443564731023,-76.98813677091938,-307.8367378313037,148.4095115776501,742.184122761985,-104.49270837559321,-104.49270837559321,640.7886406326918,-314.01625072104065,-638.8211641175675,-273.40319730054114,561.2864486901472,603.8390179252631,-700.0711641927287,-469.8604435296491,683.272306420344,-421.3548049228419,253.21907354243018,-328.2462338460917,-291.5298352358746,-449.29028359802885
2166,-247.00921523158965,-246.41229289000293,-283.8573900958032,-339.24972756343703,-75.9971474547291,-150.9858804146339,-529.9526811452668,-57.40135621733881,-218.27263322698494,-504.75940102789855,11.996390835040364,-80.67756382528513,-706.7853675591572,337.6722116082043,-407.9989451634183,814.1651862560344,-631.6829746557923,-591.3432011288818,-131.76997953557517,892.3092038102516,-164.48693335131117,-273.8327005555087,-622.9186588459083,-686.1686588489318,547.0755515965926,-359.4391674692216,-240.92934458205158,-393.45991545590687,45.601157079536435,365.73732063168484,-337.0414087053559,371.7906050164617,-126.49343507417176,-585.9444918366985,692.7465479042871,-568.9738312330669,351.4756998904935,50.909879647325035,-456.2402563598222,-407.30906295830073,-951.9530339148708,-326.0435593562995,-310.4622027914683,177.20143515806632,122.55270407481574,407.9989451634183,-282.72681138220645,-183.65027704528245,-107.5949227334951,892.3092038102516,738.7034319902427,105.70080814616956,-244.1558723210113,-80.67756382528513,-323.0583659071465,159.63921349090495,738.7034319902427,-120.19294043443091,-120.19294043443091,686.403754636946,-339.24972756343703,-622.9186588459083,-281.2584141906435,547.0755515965926,591.3432011288818,-686.1686588489318,-504.75940102789855,731.9116582704955,-452.06300228672586,260.34349179753747,-344.47705192226124,-299.9058531768656,-482.0344093115835
2167,-238.3519519957702,-251.51298557865255,-285.39694738746437,-354.9713422721056,-82.64285005862409,-159.4866325954215,-547.8651522746209,-64.92732983238963,-196.05943585175993,-519.752622844779,14.34238692584949,-81.897675050879,-612.6215392724915,276.0265022392981,-339.7226396973239,736.4925445938032,-585.8023881319342,-595.2202984567497,-158.5687610840191,765.781152664293,-164.97852118089466,-285.1897012747168,-589.4608685125287,-656.9208684101359,501.4819748843832,-378.1909075097702,-272.9965380624384,-316.10727775009025,54.51885055218378,378.6689469519472,-339.84871716442353,344.8890112921277,-132.90939915086778,-547.284210301103,790.5950726239047,-573.018773022821,474.61038695216905,69.03956691778176,-521.7933963813709,-390.4450964942159,-929.5305797081834,-335.2778335625725,-283.08104664679195,171.88739562865823,71.70273472914886,339.7226396973239,-290.48276278081033,-199.60781239491374,-119.26901944565448,765.781152664293,663.1140191784041,110.2010021948291,-249.20985748641272,-81.897675050879,-332.2080928372128,170.73127641172937,663.1140191784041,-118.0314930694439,-118.0314930694439,783.3563774344426,-354.9713422721056,-589.4608685125287,-282.78387541700863,501.4819748843832,595.2202984567497,-656.9208684101359,-519.752622844779,835.2921459878473,-517.015949499021,265.7325579418224,-354.2334033787929,-301.53245251576067,-551.2936837581717
2168,-282.932115394826,-312.6502541892027,-328.8474230805129,-396.2130300080285,-56.91655670067473,-123.12705760787362,-582.2047058176432,2.8045662023711864,-222.1736594816981,-436.3377515952552,-3.3177941724847626,-64.97937114834359,-615.6630622677374,267.843952383339,-333.8376816650237,757.5109999911233,-550.5324129757098,-557.947927159912,-132.85792649044154,748.5334941546818,-207.81556199594303,-265.54146172381405,-574.125770124703,-646.5007731673562,500.0057305498388,-255.16295868961728,-296.85198673618873,-295.6618091145525,-12.61173091953035,386.94334205577474,-358.1947343235964,345.6102996122403,-120.53335008098034,-549.0318459437706,839.2296154028953,-588.6922074588058,496.6507018444119,5.986696920500813,-552.6970487561924,-408.72686524032355,-925.3778150672626,-404.7647792955002,-312.4108828841855,215.63854917165068,48.28436986980871,333.8376816650237,-295.0689738507228,-134.1732212886677,-93.44156195451522,748.5334941546818,649.5938854881997,131.93982549550933,-309.7872863714085,-64.97937114834359,-401.05882917648427,192.92229626216368,649.5938854881997,-71.36147512309704,-71.36147512309704,831.5456219273111,-396.2130300080285,-574.125770124703,-325.83652197707005,500.0057305498388,557.947927159912,-646.5007731673562,-436.3377515952552,886.6762906830243,-547.6366535676444,330.3262914863569,-427.64892571089683,-347.43949048037524,-583.9445154426049
2169,-323.6829651178303,-395.32186307900946,-387.72533598036057,-441.27863183851184,-11.13268554187875,-57.24918110311111,-612.1137927732203,110.96162799004554,-275.11778159011044,-305.604077245263,-38.35218310504621,-40.13748535463588,-651.3358729305518,289.6236254524295,-332.2106723949195,808.9241440205881,-518.4274323947911,-512.2236390836341,-92.80387137166605,765.4209556118963,-247.32830565004738,-224.35822496094073,-547.2551667339691,-623.2251668278208,514.3380138591917,-32.48998078737375,-360.4172793329937,-271.35187680685584,-145.7858409387571,384.547305854429,-381.7235375243809,345.07687550788114,-98.41428088710063,-541.2420420043131,841.0396401793708,-592.5509103162939,461.59964600137556,-60.341156580147846,-551.6115788069258,-379.94577420198647,-927.0812446615158,-495.39442848496316,-370.7169368723395,286.78319117823736,0.48720092282502375,332.2106723949195,-292.892103206614,-21.79061026983022,-43.483175348271864,765.4209556118963,654.1582026069749,150.72975413938306,-391.7018635539785,-40.13748535463588,-490.85869035972644,204.97630814626604,654.1582026069749,-0.7319273120792946,-0.7319273120792946,833.339074101583,-441.27863183851184,-547.2551667339691,-384.17535334403493,514.3380138591917,512.2236390836341,-623.2251668278208,-305.604077245263,888.5886469981417,-546.5611219868222,417.6718337012508,-523.4024944400921,-409.64618763750167,-582.7976769983284
2170,-320.2200730636079,-397.3107341552605,-389.72853867460026,-441.6939378849307,-11.214502134906025,-57.90644984273508,-613.8878967189036,110.86973533798432,-279.238771590409,-305.38125737553617,-38.27943903119692,-40.15209472462324,-654.4267596094802,276.0016651646923,-339.9748281014206,826.8460039494848,-517.7367419786208,-512.4916322698427,-94.00220193612456,773.5045518356455,-249.10523784089037,-224.64751323330938,-545.2270787997476,-621.9820787890059,512.4267843737749,-32.64803643981426,-365.64922215158515,-274.0196529078395,-145.50932327741873,385.48598391915647,-381.6343404269633,345.5647737870738,-96.34184873641543,-542.2815636638059,843.2837925241386,-583.5934108295181,461.14675766594513,-61.86923051331202,-551.8346676521268,-380.0189683963325,-927.7420900428408,-497.3816294549392,-376.86815046023565,286.5794736909145,-0.40634776564675645,339.9748281014206,-292.6918920715953,-23.03280145066796,-43.968532892548275,773.5045518356455,655.4321282381253,151.98512906887274,-393.6725223505057,-40.15209472462324,-492.8276968917279,204.34283561834894,655.4321282381253,-0.9146574092305781,-0.9146574092305781,835.5626789684507,-441.6939378849307,-545.2270787997476,-386.1602148721923,512.4267843737749,512.4916322698427,-621.9820787890059,-305.38125737553617,890.9596747124472,-546.782168270512,419.7731478631925,-525.5020455953605,-411.7626455282029,-583.0333784696942
