t,total_demand_fbmc,total_renewables_fbmc,renewable_share_fbmc,mean_loading_d1,high_loading_share_d1,n_high_loading_lines_d1,n_lines_total_d1,demand_bin,renewables_bin,congestion_bin,strategy
24,11890.01,12434.5078635,1.0457945673300528,0.4093396341007392,0.08118081180811808,22,271,low,high,high,dynamic_gen
25,10913.69,12652.746534000002,1.1593463378563988,0.4417413638844582,0.11070110701107011,30,271,low,high,high,dynamic_gen
26,10490.44,12941.921847,1.2336872282764115,0.45482377402265456,0.13653136531365315,37,271,low,high,high,dynamic_gen
27,10757.619999999988,13176.377496000001,1.2248413214075247,0.4639440396534163,0.14391143911439114,39,271,low,high,high,dynamic_gen
28,11182.46,13394.403508500001,1.1978047324560073,0.4698915824893877,0.14760147601476015,40,271,low,high,high,dynamic_gen
29,11772.729999999994,13586.758543500002,1.1540873309334376,0.47648026118376585,0.14760147601476015,40,271,low,high,high,dynamic_gen
30,13111.049999999997,13772.064913499999,1.0504166267003787,0.4742984455563481,0.13653136531365315,37,271,low,high,high,dynamic_gen
31,15535.970000000003,13916.816391000002,0.895780333703013,0.4276858407789786,0.0996309963099631,27,271,low,high,high,dynamic_gen
32,17951.68,13943.41967450534,0.776719486672297,0.4498983672001789,0.0959409594095941,26,271,mid,high,high,dynamic_gen
33,19824.610000000004,13795.803874541316,0.6958928258634755,0.4720874180507513,0.12546125461254612,34,271,mid,high,high,dynamic_gen
34,20781.26000000001,13667.982003905505,0.657707088208583,0.47923825798677766,0.11439114391143912,31,271,high,high,high,dynamic_gen
35,21257.469999999998,13629.716607103994,0.6411730373889271,0.47961932213737923,0.12546125461254612,34,271,high,high,high,dynamic_gen
36,21339.34,14328.850413601063,0.6714758007324061,0.4769767673273293,0.11808118081180811,32,271,high,high,high,dynamic_gen
37,21385.18999999999,15281.386688225113,0.7145780181623413,0.47725398494983806,0.11808118081180811,32,271,high,high,high,dynamic_gen
38,21428.710000000006,15519.394334696772,0.7242337189078002,0.479302709752794,0.11808118081180811,32,271,high,high,high,dynamic_gen
39,21394.080000000005,14243.211169183953,0.6657547868000844,0.48053178868236324,0.12915129151291513,35,271,high,high,high,dynamic_gen
40,21312.539999999997,12030.125001062414,0.5644622837570001,0.4942932261042429,0.11808118081180811,32,271,high,high,high,dynamic_gen
41,21212.72000000001,11329.681786387757,0.5340984930922462,0.49872156145063157,0.11808118081180811,32,271,high,high,high,dynamic_gen
42,22124.739999999998,11149.017816000001,0.5039163314913532,0.49109067065205964,0.12546125461254612,34,271,high,high,high,dynamic_gen
43,22222.960000000006,10914.7762785,0.4911486263981034,0.4870076721686181,0.12546125461254612,34,271,high,high,high,dynamic_gen
44,21519.750000000007,10655.045848500002,0.4951287003101801,0.4858841825407852,0.12546125461254612,34,271,high,high,high,dynamic_gen
45,20759.30000000001,10456.305673500003,0.5036925943312153,0.48692640977391316,0.11808118081180811,32,271,high,high,high,dynamic_gen
46,20407.33,10314.255050999998,0.5054191337622314,0.48463278471859045,0.11439114391143912,31,271,high,high,high,dynamic_gen
47,19496.850000000002,10142.988973500002,0.5202373190284585,0.48341267270333244,0.1070110701107011,29,271,mid,high,high,dynamic_gen
48,17514.59,9958.453183500002,0.5685804339981696,0.449676889213698,0.07011070110701106,19,271,mid,high,high,dynamic_gen
49,16213.339999999998,9810.939531000002,0.6051152650225063,0.4340883723088536,0.055350553505535055,15,271,low,high,high,dynamic_gen
50,15278.629999999997,9592.772878500002,0.6278555654859109,0.41229512674235286,0.04428044280442804,12,271,low,high,mid,dynamic_gen
51,15048.53,9381.351823500001,0.6234065269830342,0.4040566528994306,0.04059040590405904,11,271,low,high,mid,dynamic_gen
52,15121.84,9044.8792635,0.5981335117617962,0.40081236714894014,0.04428044280442804,12,271,low,high,mid,dynamic_gen
53,15280.939999999993,8920.2017835,0.583746928101282,0.4048432444723628,0.04797047970479705,13,271,low,high,mid,dynamic_gen
54,15503.179999999998,9050.880426000002,0.5838079946178786,0.4056923242540491,0.04797047970479705,13,271,low,high,mid,dynamic_gen
55,17231.370000000003,9367.2610335,0.5436167312001309,0.4186715995517684,0.05166051660516605,14,271,mid,high,high,dynamic_gen
56,18847.379999999997,9682.024894402437,0.513706674052438,0.4364830636406261,0.07380073800738007,20,271,mid,high,high,dynamic_gen
57,19857.990000000005,9964.883372160084,0.5018072509936847,0.44282145099627523,0.08118081180811808,22,271,mid,high,high,dynamic_gen
58,20180.080000000005,10105.86615108921,0.5007842462016606,0.4367045013838298,0.08118081180811808,22,271,mid,high,high,dynamic_gen
59,20782.810000000005,10150.789022351928,0.48842235589662447,0.42700657368460077,0.07011070110701106,19,271,high,high,high,dynamic_gen
60,21412.74,10142.8036030098,0.47368079017490516,0.4238583311392531,0.06273062730627306,17,271,high,high,high,dynamic_gen
61,21467.680000000008,10121.091763838658,0.47145717487118566,0.41648393462086725,0.05166051660516605,14,271,high,high,high,dynamic_gen
62,21289.90999999999,9432.564688699098,0.4430532909110045,0.42042234221635744,0.06273062730627306,17,271,high,high,high,dynamic_gen
63,20916.730000000003,8814.333912765605,0.4214011421845386,0.40509510513364233,0.04797047970479705,13,271,high,high,mid,dynamic_gen
64,21138.310000000005,8444.485491198353,0.3994872575526781,0.392426007468723,0.033210332103321034,9,271,high,high,mid,dynamic_gen
65,21440.51,7924.843524255717,0.3696201034516305,0.4006726501588423,0.04059040590405904,11,271,high,high,mid,dynamic_gen
66,22077.95,7608.701260499999,0.34462897418012084,0.42819698855218036,0.07749077490774908,21,271,high,mid,high,dynamic_gen
67,21677.22999999999,7392.816525000001,0.3410406461065369,0.419373613108309,0.06642066420664207,18,271,high,mid,high,dynamic_gen
68,20705.549999999996,7294.8421364999995,0.3523133718495766,0.394115027120532,0.04428044280442804,12,271,high,mid,mid,dynamic_gen
69,19806.949999999997,7359.592537499998,0.3715661693244038,0.39183137233689586,0.033210332103321034,9,271,mid,high,mid,dynamic_gen
70,19256.27,7603.317873,0.39484894390242764,0.41341235953176514,0.055350553505535055,15,271,mid,high,high,dynamic_gen
71,18581.29,7863.975663000002,0.42322011351203287,0.41221785611736045,0.04428044280442804,12,271,mid,high,mid,dynamic_gen
72,16990.49,8090.301396,0.47616645523466355,0.39521685754077757,0.025830258302583026,7,271,mid,high,mid,dynamic_gen
73,15636.109999999997,8294.5426485,0.530473541596983,0.40553595103921775,0.04797047970479705,13,271,low,high,mid,dynamic_gen
74,14947.3,8273.817831000002,0.5535325999344365,0.40242500713413804,0.04797047970479705,13,271,low,high,mid,dynamic_gen
75,14663.470000000007,8209.5312615,0.5598627924699949,0.4005035479272371,0.04797047970479705,13,271,low,high,mid,dynamic_gen
76,14821.939999999995,8008.236214499999,0.5402960890747096,0.40250963552190333,0.04797047970479705,13,271,low,high,mid,dynamic_gen
77,15047.800000000003,7912.631305499999,0.5258330988915322,0.4021145527630052,0.04797047970479705,13,271,low,high,mid,dynamic_gen
78,15557.959999999997,7733.910933000002,0.4971031506058637,0.4017919123605259,0.04797047970479705,13,271,low,high,mid,dynamic_gen
79,17175.520000000004,7590.203652000001,0.44191987503144003,0.4029169965266414,0.02214022140221402,6,271,mid,high,mid,dynamic_gen
80,19113.88000000001,7365.036815593731,0.38532400619830864,0.4316784663395929,0.06642066420664207,18,271,mid,high,high,dynamic_gen
81,20304.129999999997,7411.2148244562395,0.365010213412554,0.41905680753861485,0.05166051660516605,14,271,mid,high,high,dynamic_gen
82,20519.58,9338.564446118813,0.4551050482572651,0.40464226421846006,0.05904059040590406,16,271,high,high,high,dynamic_gen
83,20872.209999999995,10107.078593259239,0.4842361490833621,0.40042743429637573,0.055350553505535055,15,271,high,high,high,dynamic_gen
84,21084.330000000005,11081.833282411864,0.5255957046020368,0.4007809956796202,0.055350553505535055,15,271,high,high,high,dynamic_gen
85,21146.509999999995,11515.758251885214,0.5445701561101675,0.40723845044478224,0.04797047970479705,13,271,high,high,mid,dynamic_gen
86,21330.540000000005,11108.904651055645,0.5207980975191272,0.4026112229234011,0.06273062730627306,17,271,high,high,high,dynamic_gen
87,21178.89,9712.720208944957,0.4586038366007358,0.4060962999536748,0.06273062730627306,17,271,high,high,high,dynamic_gen
88,21238.520000000004,7210.698525631336,0.339510404944946,0.4246174812262239,0.08118081180811808,22,271,high,mid,high,dynamic_gen
89,21221.15,6357.821311302811,0.2995983399251601,0.4373891090199106,0.1033210332103321,28,271,high,mid,high,dynamic_gen
90,22109.990000000016,5824.419713999999,0.26342932375817424,0.43825662401010546,0.0996309963099631,27,271,high,mid,high,dynamic_gen
91,22127.999999999996,5284.059063,0.2387951492678959,0.4243565852366453,0.08487084870848709,23,271,high,mid,high,dynamic_gen
92,21077.12,4881.534699000001,0.23160349701477245,0.4115237538183806,0.06642066420664207,18,271,high,mid,high,dynamic_gen
93,19995.84,4652.43285,0.23267003786787652,0.4025447291120114,0.06642066420664207,18,271,mid,mid,high,dynamic_gen
94,19417.96,4602.346699500001,0.2370149438715499,0.3945732253139523,0.05904059040590406,16,271,mid,mid,high,dynamic_gen
95,18496.750000000004,4610.721204,0.24927196420992875,0.36096378374637156,0.02952029520295203,8,271,mid,mid,mid,dynamic_gen
96,16526.969999999998,4608.571573499999,0.27885157252055276,0.3436248602508838,0.007380073800738007,2,271,low,mid,low,dynamic_gen
97,15311.410000000002,4650.8096715,0.30374796779003366,0.3244401978407445,0.007380073800738007,2,271,low,mid,low,dynamic_gen
98,14650.740000000002,4755.723873,0.3246063934654495,0.3273599841413539,0.007380073800738007,2,271,low,mid,low,dynamic_gen
99,14442.219999999998,5014.361632499999,0.34720158206286844,0.3329281034311365,0.007380073800738007,2,271,low,mid,low,dynamic_gen
100,14478.230000000001,5330.7040665,0.36818755238036693,0.33718876934549147,0.007380073800738007,2,271,low,high,low,dynamic_gen
101,14797.739999999998,5628.485008499999,0.3803611232863937,0.34134289858824207,0.007380073800738007,2,271,low,high,low,dynamic_gen
102,15307.719999999996,5718.769501500001,0.37358728154813403,0.3375161873414987,0.0036900369003690036,1,271,low,high,low,dynamic_gen
103,17241.250000000007,5614.131006,0.3256220405133037,0.3679465222887789,0.025830258302583026,7,271,mid,mid,mid,dynamic_gen
104,19348.259999999995,5320.228454593732,0.27497193311407503,0.38743682262160667,0.05166051660516605,14,271,mid,mid,high,dynamic_gen
105,20715.059999999998,5266.976851475616,0.254258344000723,0.40675618529018653,0.06642066420664207,18,271,high,mid,high,dynamic_gen
106,20775.93,7024.797108526062,0.3381219087918597,0.3595252352826217,0.055350553505535055,15,271,high,mid,high,dynamic_gen
107,21174.7,8189.549078664253,0.386761044013103,0.36291645208440326,0.07011070110701106,19,271,high,high,high,dynamic_gen
108,21546.879999999997,8685.474775367053,0.4030966328009927,0.3749116765113862,0.07011070110701106,19,271,high,high,high,dynamic_gen
109,21578.389999999992,8146.27251719841,0.37751994088522883,0.3710271138460478,0.07011070110701106,19,271,high,high,high,dynamic_gen
110,21588.519999999993,6696.150981824345,0.31017184048857205,0.37252910401891187,0.08487084870848709,23,271,high,mid,high,dynamic_gen
111,21246.340000000007,4690.890483857992,0.22078581458538224,0.36314945719816144,0.08118081180811808,22,271,high,mid,high,dynamic_gen
112,21143.95,2426.0334352773584,0.1147388938811035,0.3568683602169904,0.05904059040590406,16,271,high,low,high,dynamic_gen
113,21611.739999999998,1568.54768579819,0.07257850065742925,0.33756964920379123,0.04059040590405904,11,271,high,low,mid,dynamic_gen
114,23034.849999999988,1297.6204305,0.056332922962380946,0.32279651187002506,0.04059040590405904,11,271,high,low,mid,dynamic_gen
115,22897.000000000004,1071.538182,0.046798191116740176,0.31941164924017335,0.04059040590405904,11,271,high,low,mid,dynamic_gen
116,21923.04,892.204578,0.04069711946883279,0.31922648588675345,0.03690036900369004,10,271,high,low,mid,dynamic_gen
