,1,2,3
2161,-4863.394106468924,405.44771826953337,4457.946388210488
2162,-4945.264957367708,387.93242526850145,4557.332531888915
2163,-4955.486687358392,421.4948056479206,4533.991881222605
2164,-4969.337852236452,406.704623990933,4562.633228128241
2165,-4975.834306755548,387.07036151657024,4588.763945420324
2166,-5177.815674332354,684.2736084189534,4493.54206580311
2167,-4742.135393915576,548.7537858983195,4193.3816087460145
2168,-4907.594082432669,844.2081381633742,4063.3859442905505
2169,-5232.280720656078,1157.5734517877495,4074.707268018402
2170,-5261.819079634627,1162.7086757513434,4099.110403315288
2171,-5600.524842221299,1988.5874483846742,3611.937394671369
2172,-5826.622010020678,2147.4032125413846,3679.218797873373
2173,-5868.468972067977,2125.3493070800682,3743.1196654074893
2174,-5960.488620441951,2278.7990618305885,3681.689558171323
2175,-5843.762959363425,2132.9716956980756,3710.7912628351773
2176,-5637.847082621168,1875.6377835167002,3762.2092990374376
2177,-5107.0040152020565,1141.9554582741998,3965.048556792977
2178,-4527.605726527426,339.631152445977,4187.9745740767
2179,-4448.818977145784,707.0417320910325,3741.777245001149
2180,-4564.978483550572,1114.2280355861258,3450.7504479551208
2181,-4668.157771127712,1474.100388965485,3194.0573820365585
2182,-4689.858605404867,1338.2714018174293,3351.587203367649
2183,-4457.5241088858575,1003.9637177785431,3453.5603909941524
2184,-4836.935698582448,483.4308285175561,4353.504870442195
2185,-4648.53694211478,-94.10567116635696,4742.642612667313
2186,-4472.946904608834,-144.67668011549733,4617.623585805091
2187,-4390.895036241349,165.82349577713862,4225.071540769621
2188,-4487.324602888416,1114.5055234559252,3372.8190790587914
2189,-3953.342820352592,1162.705911341492,2790.6369084251123
2190,-3496.343174878379,1168.6797460712771,2327.6634286576505
2191,-3163.973032140226,1254.0931527255382,1909.879878980506
2192,-3377.359062073475,1538.2030945981803,1839.15596709498
2193,-4703.962948078076,2386.992304873951,2316.9706437041887
2194,-5493.602449741369,2301.312184705118,3192.2902654516583
2195,-5885.657436848313,2998.786275351294,2886.8711616012147
2196,-5644.4043221662805,4134.368637478775,1510.0356846228133
2197,-5607.856800947469,2978.18337853262,2629.673421683224
2198,-5630.408463040739,3018.255910142007,2612.1525528994157
2199,-5759.5139510242725,3537.4379945879205,2222.075956387463
2200,-5627.694867066608,3275.2963946590316,2352.3984732484405
2201,-5414.321937691028,2427.6495917927564,2986.672346192645
2202,-3124.3405253129054,1120.856358502156,2003.4841668302915
2203,-2663.2569330132255,808.445354341459,1854.8115784644292
2204,-2621.2893006858235,584.1540195518528,2037.1352810454287
2205,-2594.173376831011,540.180465603089,2053.9929118717905
2206,-2511.2745659209972,612.4564303242794,1898.8181361747909
2207,-2242.4982244549988,856.2583177018086,1386.2399062363793
2208,-2170.1739201295645,1021.912631816594,1148.2612887887317
2209,-2125.86263135623,1136.8788545109985,988.9837773834744
2210,-2117.1862596724554,1198.221442552783,918.9648170865624
2211,-2093.2982596393135,1221.795968120889,871.5022910554864
2212,-2111.3383181130075,1154.590781424221,956.7475361991271
2213,-2223.744875848711,937.1702407821543,1286.5746356348814
2214,-2533.122014433006,544.849120896907,1988.2728934847603
2215,-2897.262501246579,481.5963023806633,2415.6661994147807
2216,-3359.1831469897675,1091.5530483924006,2267.630098893527
2217,-3732.959846861716,1841.188280576606,1891.7715659093176
2218,-3938.5685311964,2378.9433864512093,1559.6251442971015
2219,-4030.219852636279,2613.9941927083755,1416.2256602429568
2220,-3835.9967875779757,2415.7602160406796,1420.2365711461093
2221,-3408.9346532599675,2008.7613511723403,1400.1733024666999
2222,-2695.686361893885,1710.81874592788,984.8676157728408
2223,-2489.965707139987,1187.0928061799605,1302.8729004511588
2224,-2455.39145129444,1260.1409214805446,1195.2505294337207
2225,-2458.6531842598447,834.6088668059172,1624.0443168644535
2226,-2585.3917845184997,362.3953525845,2222.996431254531
2227,-2605.1182765118833,110.37667587149006,2494.7416002490068
2228,-2374.984344748213,58.41986166434672,2316.5644825343097
2229,-2552.533651415712,165.91974911874414,2386.613903117519
2230,-2322.3121514812988,404.09969016526355,1918.2124621344763
2231,-2296.680553089458,668.2941467623617,1628.3864070873308
2232,-2168.099360587292,826.0021715211964,1342.0971883860257
2233,-2131.6100007352234,915.9444695292808,1215.6655305283464
2234,-2128.2207535146295,923.6492377565877,1204.5715164212183
2235,-2162.31018146946,872.334533934474,1289.975646891289
2236,-2215.7157437534047,783.9253451946132,1431.7903992236245
2237,-2368.8747444152964,596.9789509648577,1771.8957926896055
2238,-2568.1179106233003,248.03378840418014,2320.084123201826
2239,-2378.3613382295075,223.1545283480977,2155.2068100768283
2240,-2550.4966200963936,427.0386706936399,2123.457949454626
2241,-3061.498483973655,944.569188804397,2116.9292946446712
2242,-3195.454782008172,1501.9922427321785,1693.462539274044
2243,-3115.2818262334745,2076.7759712779553,1038.5058545049253
2244,-2772.069743833169,2114.441448248441,657.6282951776141
2245,-2734.916855552122,2242.95413361514,491.96272190278006
2246,-3137.5802911543515,3172.7189762793614,-35.13868522091634
2247,-3521.86240681614,3549.214229018131,-27.35182257706986
2248,-3729.1321822776476,4194.157403607941,-465.0252217116323
2249,-3316.790846333421,3053.171749519134,263.61909676900035
2250,-3025.9340389538297,1294.5461613668597,1731.3878778233884
2251,-3019.5220345672965,546.109292284385,2473.412742192244
2252,-3022.026882751578,497.62162043363276,2524.40526209711
2253,-3062.9713217454546,534.8949870306207,2528.0763339193877
2254,-3051.08478163999,786.1782338784573,2264.9065484357916
2255,-2645.3738254399227,1016.9250049011404,1628.4488203041383
2256,-2602.6497311963403,1133.6010646726077,1469.0486670679547
2257,-2539.241764948131,1150.1298400288504,1389.1119243697353
2258,-2473.4622298729596,1197.4605586901853,1276.0016711451208
2259,-2443.4356457223885,1136.2358827632884,1307.19976348394
2260,-2491.0508847160904,976.1320867926072,1514.9187983747263
2261,-2528.7203786747273,787.9316082707488,1740.7887698414454
2262,-2681.0250824980467,406.6977491070584,2274.327334234209
2263,-2574.3168280498912,799.7299680257722,1774.5868607464063
2264,-3572.3989371183693,2860.0160126222295,712.3829240400952
2265,-4348.020123333334,5400.822815923918,-1052.802693049469
2266,-4398.885550316904,6462.844408800041,-2063.9588589530067
2267,-4440.362267219921,6844.482960386796,-2404.120692560198
2268,-4424.382393419648,6518.61682175379,-2094.234428788209
2269,-4412.722720834473,6033.621106300128,-1620.8983857578276
2270,-4303.17605906954,5563.88128821588,-1260.7052295444694
2271,-3924.1166497626405,4529.042588104646,-604.9259384254617
2272,-3420.871107421413,3846.261994268127,-425.39088700383746
2273,-2935.1779307075344,2643.336979256582,291.8409510129283
2274,-2765.7693694389973,958.4004257516503,1807.3689432025149
2275,-2683.934620266066,141.6179023548649,2542.316717905227
2276,-2747.7542496413025,173.9644479127036,2573.789801239255
2277,-2875.4932400675207,340.8805506911236,2534.6126885147874
2278,-2873.0873667062992,513.8289697800263,2359.2583962477484
2279,-2608.051279783315,725.2881493782488,1882.7631310643092
2280,-2411.12175576154,891.0969206601966,1520.0248356895042
2281,-2341.901959794968,929.0140650908401,1412.8878942343895
2282,-2297.005554091985,922.7083310139487,1374.2972236567693
2283,-2262.1205763025687,920.5454288857886,1341.5751466529923
2284,-2261.9104669408557,845.8021439721019,1416.1083235337385
2285,-2299.412791442694,740.1887041585055,1559.224087888479
2286,-2479.584944276127,423.7302785216172,2055.8546664833016
2287,-2486.1722421334116,650.4561862470914,1835.7160552965613
2288,-3086.569786004103,1344.187231095989,1742.382554425106
2289,-3085.7893771377103,1663.6348232034247,1422.1545535353328
2290,-3028.7599661342756,1549.9583520857911,1478.8016136034012
2291,-3116.2438064740472,1532.974767122325,1583.2690389486386
2292,-3037.763263043143,1749.8312305108966,1287.9320325202582
2293,-2997.5828510615283,2300.2836075477617,697.2992431300096
2294,-3118.9424940902168,2995.585459216106,123.35703522569094
2295,-2946.7456772195983,2735.4433534278746,211.30232390014913
2296,-2669.9159771152904,2848.386927724256,-178.47095060833823
2297,-2519.0501035205284,2003.8057361182466,515.2443670058601
2298,-2592.801408735485,983.6466133463075,1609.1547949155486
2299,-2667.5089280203083,268.9896354904859,2398.5192923338705
2300,-2675.1185893070697,268.80342348531275,2406.315164990465
2301,-2678.156355352808,346.29031835049165,2331.866036612826
2302,-2732.8469168983684,505.46890213784854,2227.3780154679625
2303,-2512.2272746527824,761.5850858776488,1750.642189398737
2304,-2504.0319383505425,939.6558998978146,1564.376038451332
2305,-2476.5814540447286,980.0278455985856,1496.5536090100195
2306,-2426.4305920259794,1028.6186075306493,1397.8119839781596
2307,-2373.2900958300315,1035.7950627676196,1337.4950331578448
2308,-2304.4585862940567,1052.2330745229845,1252.2255117121074
2309,-2202.742755574431,1166.25555850659,1036.4871974166056
2310,-2064.7303370921372,1323.8269639870548,740.9033731809931
2311,-2001.0049448488035,1941.7336299585902,59.27131465935274
2312,-1748.2061330308602,3796.6765022592817,-2048.470369494136
2313,-3256.890033266146,5072.38120269344,-1815.4911697756258
2314,-4495.288841109966,5873.369185658769,-1378.080344977328
2315,-4858.90991285317,6091.079862738334,-1232.1699502985405
2316,-4973.978087309961,5824.706995101776,-850.72890812846
2317,-4927.125639644582,5236.678225867337,-309.55258651124706
2318,-4585.925822264226,4569.657525495919,16.268296230473574
2319,-4558.845400242805,4158.278436428764,400.5669644193594
2320,-3723.3625516509364,3764.0016787974278,-40.63912713671955
2321,-2332.722164356686,3426.4367532371657,-1093.7145884596187
2322,-1975.7757567336885,1776.0604635800603,199.71529291191305
2323,-2226.2372522343594,900.5255302849123,1325.7117219189904
2324,-2292.4178391516457,813.0293506248796,1479.3884884965582
2325,-2285.2993844914376,824.6687172699452,1460.6306677146135
2326,-2218.216454806992,914.293493152767,1303.9229611485569
2327,-2130.2904077133835,1060.2419434268356,1070.0484638331009
2328,-2075.292334559822,1249.2177840426048,826.0745509366537
2329,-2073.8779312761185,1334.7922312582564,739.0856998318006
2330,-2138.713922697146,1365.7926938825995,772.9212291661831
2331,-2163.25500302326,1370.2611413951047,792.9938617201972
2332,-2031.1629707017178,1308.310203156967,722.8527675312599
2333,-2011.146312532404,1270.9600045228894,740.1863080638024
2334,-1983.595542877637,1271.4000459068122,712.195497033828
2335,-1849.8869184835391,1877.1978787896428,-27.310960501022716
2336,-1792.8690364340584,3406.2959276196652,-1613.4268908659135
2337,-2584.499077385856,4891.586729725093,-2307.0876531442223
2338,-3379.6688585454253,6194.4299062083655,-2814.76104764836
2339,-3635.577269305256,6692.71399682734,-3057.136727590498
2340,-3611.778169962417,6527.381995657327,-2915.603825711082
2341,-3144.1862814128,6287.817934157855,-3143.6316528093994
2342,-2804.1835096293894,5840.816802639463,-3036.6332931254115
2343,-2596.789385755238,5614.117192192169,-3017.327806300946
2344,-2344.317294484222,5046.107940951308,-2701.790646353086
2345,-1800.0430019850282,3795.4472261485785,-1995.4042238856794
2346,-1914.9498295168016,1756.8505483071456,158.0992814792402
2347,-2141.729512348991,859.4584175530173,1282.2710950734454
2348,-2168.1243104272944,864.0691542510233,1304.0551565279104
2349,-2153.9088650445747,904.8402311701675,1249.0686341829582
2350,-2178.715196757405,1012.6553809764479,1166.05981568582
2351,-2104.9720447885807,1204.6394961146816,900.3325481698197
2352,-2035.0169147328104,1413.0572288900505,621.9596854036665
2353,-2012.7019541912102,1502.052266912785,510.6496873653547
2354,-1910.7358675978444,1532.882431506309,377.8534360639486
2355,-1826.2342711729277,1557.3733799931285,268.86089065751054
2356,-1844.639247954922,1537.657935649223,306.9813124983525
2357,-1780.4113981915452,1544.8543054156842,235.55709268971998
2358,-1536.6682746983774,1666.2155729353526,-129.54729820623027
2359,-2111.4819542992946,2418.419398551657,-306.9374441526253
2360,-1864.955548767282,4434.149907514199,-2569.194358501465
2361,-2543.8700171587598,5562.680789607132,-3018.8107729351427
2362,-3385.241504982369,6178.877906224223,-2793.636400958052
2363,-3856.7897165390496,6843.488060466007,-2986.698343496439
2364,-4110.916622660422,7088.84567859328,-2977.929056352228
2365,-4125.138850674648,6808.105520109554,-2682.9666693748904
2366,-3837.6118783231223,6351.58551526479,-2513.9736364886953
2367,-2810.252364881053,5134.955332296836,-2324.702967607435
2368,-2393.705856747786,4431.146883653998,-2037.4410272581808
2369,-2499.162864677709,4527.91429525541,-2028.751430831311
2370,-1777.8511274054906,2221.361710298105,-443.51058276134336
2371,-1958.2957134475341,1191.2774522527322,767.0182612450797
2372,-1984.245450953449,1091.4044479156378,892.8410025320848
2373,-1991.3249462472763,1070.0997657855278,921.2251805678758
2374,-1965.3038342407863,1167.3681989966547,797.9356352463826
2375,-1910.3940426198662,1341.5252541068921,568.8687889716069
2376,-1380.4354544754508,1724.8372941539972,-344.40183915782995
2377,-1763.507504184306,1745.1748986680536,18.332605223559394
2378,-2109.4236812410427,1856.2627438003544,253.16093747467298
2379,-1973.1932604961733,1901.2038998663402,71.98936062867647
2380,-2023.712791363741,1885.1406411470816,138.5721503370134
2381,-2053.5209735406197,1878.2320129409718,175.2889607409988
2382,-1996.1076736361592,1903.5557168968849,92.55195639405682
2383,-2009.116791600668,2690.0506844428423,-680.933892974678
2384,-2467.7669909729707,4578.374441700344,-2110.60745108807
2385,-2846.619418986198,5650.98717419523,-2804.3677550184475
2386,-3525.685765257479,6132.68222534518,-2606.9964599993173
2387,-3720.639623712561,7001.547996642074,-3280.9083728498745
2388,-3985.872446304916,7343.7378187271215,-3357.865373006009
2389,-4027.147104583718,7213.983501241386,-3186.83639725894
2390,-3691.4489471303223,6798.46837524905,-3107.01942778885
2391,-3262.502533856338,5947.798091741982,-2685.295557638541
2392,-2789.7501543240005,6004.437663873286,-3214.687509441753
2393,-2048.4449416322427,3895.546552038451,-1847.101610748337
2394,-2113.3825090159266,2025.6288009276311,87.75370745459874
2395,-2257.446805523905,1307.4133709210053,950.0334347778595
2396,-2293.328564539357,1312.1838804496824,981.1446840090746
