,TimeStep,28,13,4,7,10,9,11,12,26,14,6,15,5,17,24,16,1,21,29,18,8,20,19,27,23,22,2,25,3,75,76,80,81,82,84,85,86
0,2161,1600.0000024989126,2.4515105205356706e-06,2.3368934043776596e-06,2.3491500553925804e-06,2.1598889659277924e-06,589.1578696688249,2.3897080379827734e-06,2.4527574802413235e-06,2.3431444986500926e-06,2.3863454295411e-06,1600.0000024967799,2.339015792199503e-06,2.4555316309341573e-06,-3.6701271672750708e-06,848.5105799932139,-3.5256357059092822e-06,1999.9999965778238,-9.027158505289724e-08,-1.9908870361428034e-07,-3.632733488030708e-07,-8.617289787816233e-08,-3.735117669529029e-07,-2.031692082714421e-07,-8.807272141050227e-08,-9.088335896629264e-08,-1.723966741925469e-07,5.039312501291712e-08,-3.5994597487740013e-07,2.1875896477800808e-06,700.0000001050068,2297.2255023311577,300.0000002249751,3248.3337909215406,-6.870236399779352e-08,4370.322166947288,-4.3472514843243215e-08,-1.955149285078736e-07
1,2162,1599.9999993596264,-7.087284824511545e-07,-8.588618340091537e-07,-8.429667731350874e-07,-1.0930178998561457e-06,197.15664238123662,-7.888777717994319e-07,-7.0655963033233e-07,-8.509071041452027e-07,-7.936904523588759e-07,1599.9999993568033,-8.563696163551429e-07,-7.032329591602485e-07,-3.4094238062056512e-06,730.0473525273275,-3.218482273130387e-06,1999.9999969243322,4.918925843099736e-07,3.4912707645924987e-07,1.322634188947041e-07,4.97677816771288e-07,1.1864296554252036e-07,3.439025827807077e-07,4.949925858031062e-07,4.912413209686849e-07,3.8447668788177094e-07,6.779423630639657e-07,1.3666663754780887e-07,-1.0563150901203967e-06,699.9999706172847,2189.9574427488033,299.99998709701646,3003.8241843365527,-1.331084175830794e-05,4038.005505034202,-1.0653311081425672e-05,-1.0837084246485288e-05
2,2163,1600.000002178046,1.998102573740554e-06,1.5933816183205055e-06,1.636315393258938e-06,9.637450838733646e-07,160.96171760951916,1.7814801226909016e-06,2.0035773730524078e-06,1.6149456753315759e-06,1.7687860360223639e-06,1600.0000021704554,1.600253865090617e-06,2.012747718847575e-06,2.2894904085888173e-05,762.2307771139609,2.3408472680758934e-05,2000.0000237884399,4.542209211892439e-08,-3.3927369868942925e-07,-9.225869091650354e-07,6.073495867419389e-08,-9.591327148534218e-07,-3.5343654379991756e-07,5.367802223860869e-08,4.363219511284077e-08,-2.4422253633634703e-07,5.457318269993254e-07,-9.106780136935867e-07,1.0622985814864966e-06,700.0000002710801,2135.567623553671,299.9999949222311,2958.382063845445,-6.161187421870931e-06,4021.7859704807825,-3.0125989119422086e-07,-8.072759563622518e-07
3,2164,1600.0000028505144,2.788842282983331e-06,2.655667829835199e-06,2.669712285468176e-06,2.447527992422006e-06,78.53577745710173,2.7178766692903276e-06,2.790856186485367e-06,2.6626583292874223e-06,2.713532564613721e-06,1600.0000028480022,2.657791382845648e-06,2.793753753222229e-06,-1.262593966806346e-06,748.5297041027534,-1.0929209935937309e-06,1999.9999990349718,-4.387071582352547e-07,-5.654087616383104e-07,-7.581652384976345e-07,-4.335206023741128e-07,-7.702018644617796e-07,-5.70038290520655e-07,-4.359499714199344e-07,-4.3926088282082665e-07,-5.339899322408725e-07,-2.733777632041552e-07,-7.541724494010673e-07,2.4801697358325872e-06,699.9999925441597,2008.2380211461498,299.9999823634432,2877.1080416955633,-1.800217236635834e-05,3978.273036721999,1.0723548777811564e-05,1.0563046389375111e-05
4,2165,1599.9999899778727,-9.968671595268667e-06,-9.854675739849424e-06,-9.866685603210074e-06,-9.676248089397838e-06,60.37058831538411,-9.908001565807245e-06,-9.970453577935474e-06,-9.860618539199259e-06,-9.904251289581192e-06,1599.9999899800264,-9.85645793181308e-06,-9.972904649185717e-06,3.254317651304165e-06,749.2908076881112,3.108880570246244e-06,2000.00000299863,-2.3122610341091377e-07,-1.227448842117454e-07,4.237414860694275e-08,-2.3570659244388786e-07,5.275530839124764e-08,-1.1880025824956058e-07,-2.33635035642217e-07,-2.3078062198129647e-07,-1.4968522585204577e-07,-3.7295536199284917e-07,3.904556884834742e-08,-9.704200727560821e-06,700.0000005509105,1931.6831394519338,300.0000004498367,2830.7136082210977,7.65289552614869e-07,3933.785738079841,1.2003123260942387e-07,2.558008147907068e-07
5,2166,1600.0000038882113,3.8593409233458215e-06,3.78129558984198e-06,3.7897191858797665e-06,3.6619805511370306e-06,201.26177537518168,3.816817952317515e-06,3.859895243780011e-06,3.785669638987399e-06,3.81474250877972e-06,1600.0000038867734,3.7829118111447054e-06,3.861949832494377e-06,-9.740305049681854e-07,1215.42572306745,-8.765352805366455e-07,1999.999999189957,-2.172210186620294e-07,-2.911686444383719e-07,-4.02041277705296e-07,-2.1466115964659654e-07,-4.089022847666275e-07,-2.9401871543205904e-07,-2.1582492500085586e-07,-2.1773647852276144e-07,-2.732158838498166e-07,-1.2238920269364138e-07,-3.998103142083834e-07,3.6806526667122706e-06,699.9999999893201,2153.0979631023715,300.00000012596234,3026.874397268186,-6.142470779193327e-08,4193.858389848811,-9.780969510958745e-09,-1.2170106623220314e-07
6,2167,1599.9999840257983,-1.5933741223860456e-05,-1.5846448098773805e-05,-1.5855645053639243e-05,-1.5709993332250393e-05,1242.8254602430975,-1.588722681975588e-05,-1.5935059128623746e-05,-1.58510158202365e-05,-1.588437197884981e-05,1599.9999840274459,-1.5847820573374616e-05,-1.593695702340129e-05,-1.808555887816224e-05,1097.4904118436457,-1.819678726555625e-05,1999.9999817193432,-1.9663580305490416e-07,-1.1356159404485449e-07,1.2751508220900235e-08,-2.0003897446814928e-07,2.066286072871634e-08,-1.1054791343669938e-07,-1.984643038367951e-07,-1.9628324596847614e-07,-1.341795199676918e-07,-3.050342344415434e-07,1.0179317422303357e-08,-1.573136010705102e-05,700.0000005984526,2284.6582832644563,300.0000029671689,3415.0582983590743,3.206957730106477e-06,4600.000000018019,88.94914640412361,1.7510150695582709e-07
7,2168,1600.000000708704,7.019496088254918e-07,7.024045548017266e-07,7.021760778744596e-07,7.005243986528492e-07,1600.00000070862,7.030796723237053e-07,7.02541307013998e-07,7.020994444713827e-07,7.026523278014214e-07,1600.0000007086762,7.020476527766925e-07,54.33801748774442,-4.919225549699776e-06,713.0101881092431,-4.917953956670745e-06,1999.9999950897118,1.7002591041081116e-06,1.7004052353631818e-06,1.6990732185734354e-06,1.700694600890388e-06,1.6989410305312465e-06,1.700541803186964e-06,1.7004788311984495e-06,1.7004422448815673e-06,1.7007449111375895e-06,155.52917645861868,1.699114518860829e-06,7.008788257675484e-07,699.9999998963748,1950.182753596289,299.99999903937584,3799.9999990443052,3.2605596226084432,4599.999999748492,628.5913553018139,-2.638109771037271e-07
8,2169,1600.000000835371,8.502046151374528e-07,8.87281825124055e-07,8.833108811344904e-07,9.443586602501469e-07,1600.0000008374916,8.702592855717268e-07,8.498430212368275e-07,8.852415075623989e-07,8.713211570367343e-07,1600.0000008360573,8.865721850771266e-07,0.6231275324380531,8.158879678845715e-05,8.154166304833916e-05,8.154212817917475e-05,2000.0000814277792,1.6215210995129035e-07,1.9733865186299697e-07,2.5030819235983514e-07,1.608620692129303e-07,2.536129922391689e-07,1.986637828245179e-07,1.6145328756937768e-07,1.623658680507535e-07,1.887296378626327e-07,1.1678325489529386e-07,2.49241814155677e-07,9.354393707452176e-07,699.9999999534007,879.3273666645862,299.99999972335127,3799.999999769106,280.4468784754477,4599.999999992572,1003.9181036236156,5.4857339236836776e-08
