t,d2_objective,d1_mc_objective,n_total_candidates,n_initial_active,n_final_active,n_binding_final,n_screening_iterations
107,1271404.7706370172,1272358.2729319343,17627,65,69,2,2
108,1297471.3328712857,1303720.107798542,17627,65,70,3,3
109,1346291.5867700353,1350936.1443716115,17627,65,70,3,3
110,1458904.9974698345,1459255.5656985454,17627,65,69,2,2
111,1590011.025341321,1590319.0745784226,17627,65,69,2,2
112,1796653.297829903,1796653.2981299032,17627,65,65,0,1
113,1966394.1560299909,1966394.1563299906,17627,65,65,0,1
114,2232799.394884915,2232799.3951849197,17627,65,65,0,1
115,2263116.7143667177,2263116.7146667223,17627,65,65,0,1
116,2151642.3696449073,2151642.3699449077,17627,65,65,0,1
117,2024572.1997248575,2024572.2000248574,17627,65,65,0,1
118,1901668.9179259818,1901668.9182259818,17627,65,65,0,1
119,1781446.5154872946,1781446.5157872946,17627,65,65,0,1
120,1529325.9056223854,1529325.9059223847,17627,65,65,0,1
121,1295786.0095732168,1295786.0098732167,17627,65,65,0,1
122,1143509.4926693048,1143509.4929373013,17627,65,65,0,1
123,1084211.2238478072,1084211.2240778531,17627,65,65,0,1
