contingency_idx,mtu_active_count,mtu_binding_count,mtu_near_binding_count,avg_active_rows_when_active,avg_binding_rows_when_active,best_min_abs_slack,mean_min_abs_slack_when_active,active_frequency,binding_frequency,near_binding_frequency,selection_score
57,2309,1674,1674,1.0,0.7249891728020789,-2.8421709430404007e-13,50.519304299902636,0.26358447488584474,0.1910958904109589,0.1910958904109589,0.1910958904109589
144,2309,1674,1674,1.0,0.7249891728020789,-2.8421709430404007e-13,50.519304299902636,0.26358447488584474,0.1910958904109589,0.1910958904109589,0.1910958904109589
147,996,988,988,1.0040160642570282,0.9919678714859438,-4.547473508864641e-13,2.3411660638232346,0.1136986301369863,0.11278538812785388,0.11278538812785388,0.11278538812785388
99,1995,870,870,1.0,0.43609022556390975,-3.694822225952521e-13,138.72006875419405,0.22773972602739725,0.09931506849315068,0.09931506849315068,0.09931506849315068
166,1995,870,870,1.0,0.43609022556390975,-3.694822225952521e-13,138.72006875419405,0.22773972602739725,0.09931506849315068,0.09931506849315068,0.09931506849315068
106,823,654,654,1.0,0.7946537059538274,-2.2737367544323206e-13,14.529453016470693,0.09394977168949771,0.07465753424657534,0.07465753424657534,0.07465753424657534
243,823,654,654,1.0,0.7946537059538274,-2.2737367544323206e-13,14.529453016470693,0.09394977168949771,0.07465753424657534,0.07465753424657534,0.07465753424657534
33,203,119,119,1.103448275862069,0.5862068965517241,-4.547473508864641e-13,342.1004284050951,0.02317351598173516,0.01358447488584475,0.01358447488584475,0.01358447488584475
236,203,119,119,1.103448275862069,0.5862068965517241,-4.547473508864641e-13,342.1004284050951,0.02317351598173516,0.01358447488584475,0.01358447488584475,0.01358447488584475
55,347,115,115,1.0028818443804035,0.3314121037463977,-2.2737367544323206e-13,63.12791799384099,0.03961187214611872,0.013127853881278538,0.013127853881278538,0.013127853881278538
133,84,4,4,1.4880952380952381,0.047619047619047616,-2.5579538487363607e-13,408.98834878916483,0.009589041095890411,0.00045662100456621003,0.00045662100456621003,0.00045662100456621003
105,713,1,1,1.0,0.001402524544179523,1.0658141036401503e-13,205.15122612399492,0.08139269406392693,0.00011415525114155251,0.00011415525114155251,0.00011415525114155251
237,713,1,1,1.0,0.001402524544179523,1.0658141036401503e-13,205.15122612399492,0.08139269406392693,0.00011415525114155251,0.00011415525114155251,0.00011415525114155251
123,49,1,1,1.4081632653061225,0.02040816326530612,7.993605777301127e-14,159.87472693248304,0.005593607305936073,0.00011415525114155251,0.00011415525114155251,0.00011415525114155251
119,566,0,0,1.4063604240282686,0.0,24.77577014109758,235.27370220954367,0.06461187214611872,0.0,0.0,0.0
235,540,0,0,1.4796296296296296,0.0,29.33835092945219,238.89184495947399,0.06164383561643835,0.0,0.0,0.0
247,367,0,0,1.8773841961852862,0.0,73.51246928425925,287.3556606360939,0.04189497716894977,0.0,0.0,0.0
47,229,0,0,1.017467248908297,0.0,81.31234799171443,121.53918393970682,0.026141552511415526,0.0,0.0,0.0
58,209,0,0,1.0,0.0,105.44193087080433,181.90957737416105,0.023858447488584476,0.0,0.0,0.0
167,174,0,0,1.8103448275862069,0.0,200.01025403000986,470.54074971158826,0.01986301369863014,0.0,0.0,0.0
210,174,0,0,1.8103448275862069,0.0,200.01025403000986,470.54074971158826,0.01986301369863014,0.0,0.0,0.0
146,115,0,0,1.0869565217391304,0.0,65.35839941387336,131.5448630173033,0.013127853881278538,0.0,0.0,0.0
52,95,0,0,1.3894736842105264,0.0,1.5912244344642659,359.7409017511415,0.010844748858447488,0.0,0.0,0.0
244,95,0,0,1.3894736842105264,0.0,1.5912244344642659,359.7409017511415,0.010844748858447488,0.0,0.0,0.0
201,80,0,0,1.5375,0.0,5.233272937084902,392.57815179097787,0.0091324200913242,0.0,0.0,0.0
