t,contingency_idx,active_rows,binding_rows,has_binding,has_near_binding,min_upper_slack,min_lower_slack,min_abs_slack
20,33,1,1,True,True,2891.2537499999994,0.0,0.0
20,55,1,0,False,False,83.35182679674486,2807.9019232032547,83.35182679674486
20,99,1,0,False,False,65.00738608098362,2826.2463639190155,65.00738608098362
20,105,1,0,False,False,2840.595082589953,50.65866741004669,50.65866741004669
20,106,1,1,True,True,2891.2537499999994,8.526512829121202e-14,8.526512829121202e-14
20,166,1,0,False,False,65.00738608098362,2826.2463639190155,65.00738608098362
20,236,1,1,True,True,2891.2537499999994,0.0,0.0
20,237,1,0,False,False,2840.595082589953,50.65866741004669,50.65866741004669
20,243,1,1,True,True,2891.2537499999994,8.526512829121202e-14,8.526512829121202e-14
21,33,1,1,True,True,2891.2537499999994,1.1368683772161603e-13,1.1368683772161603e-13
21,105,1,0,False,False,2730.704158224374,160.54959177562552,160.54959177562552
21,106,1,1,True,True,2891.2537499999994,-5.684341886080802e-14,-5.684341886080802e-14
21,236,1,1,True,True,2891.2537499999994,1.1368683772161603e-13,1.1368683772161603e-13
21,237,1,0,False,False,2730.704158224374,160.54959177562552,160.54959177562552
21,243,1,1,True,True,2891.2537499999994,-5.684341886080802e-14,-5.684341886080802e-14
22,33,1,1,True,True,2891.2537499999994,0.0,0.0
22,55,1,0,False,False,117.89197660564807,2773.361773394351,117.89197660564807
22,99,1,0,False,False,302.0991176078504,2589.154632392149,302.0991176078504
22,105,1,0,False,False,2699.724366157039,191.52938384295976,191.52938384295976
22,106,1,1,True,True,2891.253749999999,5.684341886080802e-14,5.684341886080802e-14
22,166,1,0,False,False,302.0991176078504,2589.154632392149,302.0991176078504
22,236,1,1,True,True,2891.2537499999994,0.0,0.0
22,237,1,0,False,False,2699.724366157039,191.52938384295976,191.52938384295976
22,243,1,1,True,True,2891.253749999999,5.684341886080802e-14,5.684341886080802e-14
23,33,1,1,True,True,2891.2537499999994,0.0,0.0
23,55,1,0,False,False,124.6047298295727,2766.649020170427,124.6047298295727
23,58,1,0,False,False,2643.4510652241997,247.80268477579955,247.80268477579955
23,99,1,0,False,False,399.14570770697355,2492.1080422930263,399.14570770697355
23,105,1,0,False,False,2632.6536079544744,258.6001420455249,258.6001420455249
23,106,1,1,True,True,2891.2537499999994,5.684341886080802e-14,5.684341886080802e-14
23,166,1,0,False,False,399.14570770697355,2492.1080422930263,399.14570770697355
23,167,1,0,False,False,529.9036722000125,2361.350077799987,529.9036722000125
23,210,1,0,False,False,529.9036722000125,2361.350077799987,529.9036722000125
23,236,1,1,True,True,2891.2537499999994,0.0,0.0
23,237,1,0,False,False,2632.6536079544744,258.6001420455249,258.6001420455249
23,243,1,1,True,True,2891.2537499999994,5.684341886080802e-14,5.684341886080802e-14
24,55,1,0,False,False,52.34691259053852,2838.9068374094604,52.34691259053852
24,99,1,1,True,True,3.410605131648481e-13,2891.253749999999,3.410605131648481e-13
24,105,1,0,False,False,2853.2474678854164,38.006282114583016,38.006282114583016
24,106,1,1,True,True,2891.2537499999994,1.4210854715202004e-13,1.4210854715202004e-13
24,166,1,1,True,True,3.410605131648481e-13,2891.253749999999,3.410605131648481e-13
24,237,1,0,False,False,2853.2474678854164,38.006282114583016,38.006282114583016
