,1,2,3
2161,-4869.230499819772,423.3175005351746,4445.912999250471
2162,-4954.809002597154,417.15400668883257,4537.654996160071
2163,-4969.370600773197,464.00460190175534,4505.3659989259495
2164,-4996.344995137162,489.3942969911369,4506.950698138851
2165,-5016.437999544542,511.38899949784377,4505.048999994243
2166,-4755.786898084978,430.9409056517822,4324.845993028606
2167,-4674.343601671477,683.3290008866062,3991.0146007142225
2168,-5064.898992531518,1325.838989501407,3739.0600026443403
2169,-5418.218787764663,1726.872377809005,3691.3464091917585
2170,-5500.931602656802,1894.815095055695,3606.1165077877886
2171,-5621.602002013218,2053.1208048745225,3568.4811973295677
2172,-5826.622002104905,2147.40319949274,3679.2188026277067
2173,-5868.468997344043,2125.349323503367,3743.1196737280834
2174,-5960.488515881778,2278.79763117663,3681.690884703849
2175,-5843.762903599559,2132.971699103497,3710.791204525661
2176,-5395.487455526173,1853.7664988504823,3541.720956727885
2177,-5148.40228677843,1408.2127823686037,3740.189504092213
2178,-4841.476998266745,1300.6317968029343,3540.8452013931465
2179,-4625.845534302725,1249.0557337534092,3376.7898005299676
2180,-4633.370989269728,1323.6297847286935,3309.741204460328
2181,-4637.95270653165,1381.619706476294,3256.3330000069
2182,-4689.85839571769,1338.271386260484,3351.5870088794213
2183,-4760.416633499103,1260.7584372483902,3499.6581962214796
2184,-4966.913193420809,1218.8045896734902,3748.108603670783
2185,-5072.514000905467,1199.1363011242413,3873.3776998057733
2186,-4766.343371121703,969.1413142682575,3797.2020378667357
2187,-4643.383249879988,1005.1808501840733,3638.202399641128
2188,-4490.025898335494,1129.7885986738345,3360.2372997532875
2189,-4321.814000008992,1190.5864982132998,3131.227501820624
2190,-4084.8755020581402,1237.8694999565,2847.0060020830224
2191,-3925.5605987889858,1398.2584107792484,2527.3021882935723
2192,-4012.2685099835267,1714.327809858078,2297.9406999147773
2193,-4754.739298796427,2438.7501979041585,2315.9891009687835
2194,-5188.792500255811,3162.5084998753064,2026.2840003964925
2195,-5449.688496715031,3860.973903260266,1588.7145931691293
2196,-5644.404300059906,4134.368699444376,1510.035600597278
2197,-5735.704601516617,4080.042197271207,1655.6624043498073
2198,-5754.474997081311,3927.4539000203713,1827.0210970671833
2199,-5704.98000394329,3691.2116999456334,2013.7683040173895
2200,-5466.963999860685,3247.608999479513,2219.3550004380418
