CNEC,median_dFlow_dNPpred
36,2.7590715491013474e-05
37,0.00010071714443057798
38,9.466658388746132e-05
39,9.382573271494567e-05
41,6.191799239249079e-08
42,-1.2156815720589527e-07
54,9.624063692283e-05
55,-3.4032704764256223e-06
60,7.4189102796060825e-06
61,-2.109392573383447e-06
62,-1.4987952823855028e-09
63,-1.8270994380448412e-08
65,7.451243240956778e-05
66,-1.2230331377648344e-05
67,4.38182933805673e-05
68,-0.00010468970327621371
69,3.604868205220122e-05
109,-5.544187323047673e-06
113,-1.5188891073129647e-05
114,-9.68323396253054e-05
116,6.182771884138646e-05
117,1.9497883529631083e-05
120,-1.1801021160309946e-06
121,-6.132520276420013e-07
122,-2.4179019286464212e-06
123,-7.695596879862478e-06
124,-2.5017216289803087e-06
125,0.00010031750161549024
126,4.887945797567769e-07
127,-6.786415251066093e-05
128,4.894293607028211e-05
129,-1.416999012662792e-05
130,-5.11629335190269e-05
131,2.5221745777464234e-07
134,-2.3517184429439113e-05
136,8.524332921402758e-06
137,8.388418566051805e-08
138,4.193691184339143e-05
139,3.147528854972264e-05
141,-1.9509020749451176e-06
145,-1.41951747164204e-07
148,0.00013559711260244117
150,1.4619063556578254e-05
155,1.139615196116376e-05
158,-3.4035440248250665e-05
159,-4.332154847088407e-05
161,8.449062726908249e-05
162,-8.637725178130353e-06
163,7.218277785090768e-09
187,-9.388770453966347e-05
188,-2.6786959429459857e-05
189,-2.798764261909879e-05
207,9.930060000544046e-05
209,-1.4884292341090146e-08
227,0.00013227358475032664
236,-1.2152039923426312e-05
239,-2.7163681828182622e-05
269,-3.913163591457892e-09
275,-3.901511737886856e-09
284,-2.4351241497580042e-05
285,9.661628996153641e-05
286,-6.668162167249692e-07
287,9.056589293530858e-05
290,-1.0464044062819878e-06
291,5.906551097033019e-06
292,-3.5625391356188945e-07
293,-1.9336673437734546e-06
296,-2.891303774553761e-05
298,3.159954255277839e-05
300,-0.00011091057428704214
301,0.00013861456648963353
303,9.980166690166867e-05
319,3.113079002621542e-05
