CNEC,median_dFlow_dNPpred
36,0.002568624138722486
37,0.03506000114012312
38,0.03308654256797973
39,0.03482462465721921
41,3.750612953941163e-06
42,-4.388352659812478e-06
54,0.04872877174553541
55,-0.00014764231675486704
60,8.332345180121699e-05
61,4.012127259289529e-05
62,-5.838916528716559e-06
63,1.5048913622520354e-09
65,0.009663676757122716
66,-0.00013149978801118802
67,0.011938560388596631
68,-0.012074807025394575
69,0.0003006341801519597
109,-3.727179033735515e-07
113,-0.0005825048046178591
114,-0.03599100909364582
116,2.3429496246738447e-05
117,0.005345369513762551
120,4.5737098624187063e-07
121,1.576014973394145e-05
122,-0.00024823871211174773
123,-5.86515014497432e-05
124,-0.00013620859040217915
125,0.015560410604710768
126,7.187699510700083e-05
127,-0.02179184550198765
128,0.010159614181488145
129,-0.0002879370512021849
130,-0.00026729966000185073
131,0.0005068995833434162
134,-0.01859045310576197
136,0.0027084423446040277
137,-0.000610777095684738
138,0.00116279988588337
139,0.004961503755098478
141,6.086641969715982e-08
145,2.033351920710664e-06
148,0.05190620553900168
150,0.004006668891126961
155,1.8611679374092176e-08
158,-0.0010158388735917
159,-0.011917579982053991
161,0.019621842085175263
162,-0.00027026450992722055
163,-2.2799912398411767e-05
187,-0.036111178424575105
188,-0.0008703090052204834
189,-1.8586240337254175e-09
207,0.034596468893670795
209,3.1343535362791006e-09
227,0.05144031440715692
236,-8.515371648230818e-06
239,-0.0008196649584931593
269,-5.334802652714176e-06
275,-4.939619619638138e-06
284,-0.018353362517921263
285,0.03492283341238041
286,6.806554863451509e-07
287,0.03270481590397164
290,-0.0002612758212329838
291,3.241135809911781e-07
292,1.3713401535819957e-05
293,4.007308020670236e-05
296,-0.020014638907324966
298,0.004961222328747036
300,-0.0380681848639048
301,0.0555413332366938
303,0.036177347999334246
319,0.005293427766317666
