CNEC,median_dAbsFBME_dNPpred,abs_median_dAbsFBME_dNPpred,n_MTUs_used
36,-0.008322490936097788,0.008322490936097788,267
37,0.029695969899536157,0.029695969899536157,267
38,0.035918101390495234,0.035918101390495234,267
39,0.07787706449309387,0.07787706449309387,267
41,0.015891424279295494,0.015891424279295494,267
42,0.013234831571331025,0.013234831571331025,267
54,0.02510518008495311,0.02510518008495311,267
55,0.00093818166632889,0.00093818166632889,267
60,0.022755347876164383,0.022755347876164383,267
61,-0.010314957543403128,0.010314957543403128,267
62,-0.0015526030624436135,0.0015526030624436135,267
63,-0.002969876968635813,0.002969876968635813,267
65,-0.022597655888807088,0.022597655888807088,267
66,-0.008193922134064852,0.008193922134064852,267
67,-0.004826206921582626,0.004826206921582626,267
68,-0.011845045800322293,0.011845045800322293,267
69,-0.0024044690213111744,0.0024044690213111744,267
109,-0.006396818393462033,0.006396818393462033,267
113,-0.013984522307382204,0.013984522307382204,267
114,-0.014450037286512596,0.014450037286512596,267
116,-0.006302136002600954,0.006302136002600954,267
117,0.021747323841137364,0.021747323841137364,267
120,-0.014100761296598461,0.014100761296598461,267
121,-0.016394614665159346,0.016394614665159346,267
122,-0.012444461482603728,0.012444461482603728,267
123,-0.015196605223567562,0.015196605223567562,267
124,-0.005632989562751385,0.005632989562751385,267
125,-0.002949238710747189,0.002949238710747189,267
126,-0.00946999746892217,0.00946999746892217,267
127,0.012697029573908431,0.012697029573908431,267
128,0.01763851000441032,0.01763851000441032,267
129,-0.013512463912292372,0.013512463912292372,267
130,-0.0023619316173996087,0.0023619316173996087,267
131,-0.03131917940583312,0.03131917940583312,267
134,-0.0062551778128145975,0.0062551778128145975,267
136,-0.006080090461813963,0.006080090461813963,267
137,0.032912482272592324,0.032912482272592324,267
138,-0.004429357703274271,0.004429357703274271,267
139,-0.012613244587974496,0.012613244587974496,267
141,-0.011467414127404773,0.011467414127404773,267
145,-0.015448411632341907,0.015448411632341907,267
148,0.024520353276673644,0.024520353276673644,267
150,0.007155857034007529,0.007155857034007529,267
155,0.03151680960969356,0.03151680960969356,267
158,-0.00751390152852382,0.00751390152852382,267
159,-0.004672930132028835,0.004672930132028835,267
161,0.0674942748819754,0.0674942748819754,267
162,-0.0874491241816203,0.0874491241816203,267
163,-0.03976762451921744,0.03976762451921744,267
187,-0.01429063165506251,0.01429063165506251,267
188,-0.013481197592617873,0.013481197592617873,267
189,0.0015789249044958315,0.0015789249044958315,267
207,0.029522428546423583,0.029522428546423583,267
209,-0.002912639627968808,0.002912639627968808,267
227,0.02433269820442854,0.02433269820442854,267
236,0.001009472601093437,0.001009472601093437,267
239,-0.01359037751903625,0.01359037751903625,267
269,0.015057768094917224,0.015057768094917224,267
275,0.015031320703458069,0.015031320703458069,267
284,-0.005862746099885283,0.005862746099885283,267
285,0.07931181120793224,0.07931181120793224,267
286,-0.014150927360595136,0.014150927360595136,267
287,0.03581552155469746,0.03581552155469746,267
290,-0.012581433146731729,0.012581433146731729,267
291,-0.006341847920081885,0.006341847920081885,267
292,-0.01678795739992383,0.01678795739992383,267
293,-0.010556690197630869,0.010556690197630869,267
296,-0.005419898698925755,0.005419898698925755,267
298,-0.011909565789334806,0.011909565789334806,267
300,0.032576588954528134,0.032576588954528134,267
301,0.026441756273389388,0.026441756273389388,267
303,0.038340082860468035,0.038340082860468035,267
319,-0.013384155942254394,0.013384155942254394,267
