CNEC,median_dAbsFBME_dNPpred,abs_median_dAbsFBME_dNPpred,n_MTUs_used
36,-0.01884884894132021,0.01884884894132021,485
37,-0.0011009922158930878,0.0011009922158930878,485
38,-0.0023564221627621,0.0023564221627621,485
39,-0.0018355133627963947,0.0018355133627963947,485
41,-0.003139928444231214,0.003139928444231214,485
42,-0.0052549468214006445,0.0052549468214006445,485
54,-0.0015932749222536534,0.0015932749222536534,485
55,-0.013036920296896364,0.013036920296896364,485
60,0.008307138897700225,0.008307138897700225,485
61,-0.004138791587490368,0.004138791587490368,485
62,-0.002390663793649614,0.002390663793649614,485
63,0.00034124331586637665,0.00034124331586637665,485
65,-0.009234020332953083,0.009234020332953083,485
66,-0.003535480580699903,0.003535480580699903,485
67,-0.004879863504650148,0.004879863504650148,485
68,-0.005473260025655061,0.005473260025655061,485
69,0.009783654162510076,0.009783654162510076,485
109,0.0008756070728056922,0.0008756070728056922,485
113,-0.020891483627298122,0.020891483627298122,485
114,-0.007973009745333789,0.007973009745333789,485
116,-0.006242565477997447,0.006242565477997447,485
117,0.0049076325069172776,0.0049076325069172776,485
120,-0.004901798982052424,0.004901798982052424,485
121,-0.005549400623117059,0.005549400623117059,485
122,-0.010965769362553437,0.010965769362553437,485
123,-0.03072822333465788,0.03072822333465788,485
124,-0.02794100484403427,0.02794100484403427,485
125,-0.01604796849549236,0.01604796849549236,485
126,-0.013321532309771041,0.013321532309771041,485
127,-0.0005133166826765498,0.0005133166826765498,485
128,-0.032190450782199564,0.032190450782199564,485
129,-0.008321429066054632,0.008321429066054632,485
130,-0.004673898858692521,0.004673898858692521,485
131,-0.017017400810533063,0.017017400810533063,485
134,-0.010062809888532143,0.010062809888532143,485
136,-0.034061124219126104,0.034061124219126104,485
137,0.008548319115813477,0.008548319115813477,485
138,0.006088978092843765,0.006088978092843765,485
139,-0.007634577468957513,0.007634577468957513,485
141,-0.007936198617634749,0.007936198617634749,485
145,-0.005560490198122804,0.005560490198122804,485
148,0.001181486755314101,0.001181486755314101,485
150,-0.009277271151714865,0.009277271151714865,485
155,-0.021088685077883487,0.021088685077883487,485
158,-0.01829676698685806,0.01829676698685806,485
159,-0.004781825445200144,0.004781825445200144,485
161,-0.029767545258825,0.029767545258825,485
162,-0.09331342731645192,0.09331342731645192,485
163,-0.04982398807612343,0.04982398807612343,485
187,-0.008193558918678926,0.008193558918678926,485
188,-0.004920375084985621,0.004920375084985621,485
189,0.004967670107939372,0.004967670107939372,485
207,-0.0017082093029766323,0.0017082093029766323,485
209,0.00032462666664849493,0.00032462666664849493,485
227,0.0004588035948534012,0.0004588035948534012,485
236,0.007592085824076569,0.007592085824076569,485
239,-0.004794865807089757,0.004794865807089757,485
269,0.0012625814931979539,0.0012625814931979539,485
275,0.001282017999634891,0.001282017999634891,485
284,-0.009747080354321392,0.009747080354321392,485
285,-0.0018480159937917496,0.0018480159937917496,485
286,-0.005041596892698327,0.005041596892698327,485
287,-0.0020428665760209796,0.0020428665760209796,485
290,-0.010856522149180474,0.010856522149180474,485
291,0.0007710514766860041,0.0007710514766860041,485
292,-0.005573956043968377,0.005573956043968377,485
293,-0.003747331253566705,0.003747331253566705,485
296,-0.01066217286621165,0.01066217286621165,485
298,-0.007700749732450203,0.007700749732450203,485
300,-0.0018456223807321263,0.0018456223807321263,485
301,0.0008493859300960195,0.0008493859300960195,485
303,-0.0024255686217079784,0.0024255686217079784,485
319,-0.008060772008799967,0.008060772008799967,485
